Date,Sales
10/22/2003,5559
11/6/2003,7873
11/14/2003,7886
11/26/2003,7232
1/2/2004,3114
2/12/2004,5045
3/19/2004,6952
5/5/2004,4158
7/20/2004,7962
8/20/2004,3779
9/9/2004,8253
10/14/2004,3633
10/22/2004,6914
11/5/2004,2584
11/20/2004,3106
12/1/2004,4409
12/15/2004,3042
1/26/2005,5942
2/17/2005,3242
3/23/2005,6109
5/5/2005,3388
3/3/2003,3486
5/8/2003,2043
7/2/2003,1800
9/5/2003,1341
10/10/2003,1762
11/4/2003,2298
11/12/2003,1628
11/20/2003,1939
12/2/2003,3652
1/15/2004,2592
2/22/2004,2864
4/9/2004,1484
6/1/2004,2254
7/6/2004,2681
8/2/2004,3184
8/30/2004,2847
10/4/2003,1685
10/16/2004,3989
11/3/2004,2790
11/15/2004,3608
11/24/2004,3368
1/6/2005,2775
2/9/2005,1628
3/3/2005,2529
5/17/2005,3066
1/31/2003,4616
4/4/2003,5724
6/3/2003,2560
8/1/2003,2140
9/21/2003,3328
10/22/2003,6826
11/6/2003,3543
11/14/2003,4516
11/25/2003,6445
12/9/2003,3384
2/10/2004,4892
3/11/2004,4522
5/5/2004,5070
6/15/2004,6541
7/20/2004,3012
8/19/2004,5247
9/8/2004,2215
10/13/2004,4773
10/22/2004,6186
11/5/2004,1518
11/20/2004,6373
12/1/2004,5233
12/10/2004,2695
1/23/2005,1750
2/17/2005,2131
5/3/2005,5951
5/31/2005,4693
3/3/2003,3731
5/8/2003,2142
7/2/2003,2839
9/5/2003,3230
10/11/2003,5182
11/4/2003,4391
11/12/2003,4477
11/20/2003,3545
12/2/2003,5196
1/16/2004,4180
2/22/2004,2684
4/12/2004,1959
6/1/2004,4911
7/6/2004,4468
8/4/2004,3128
8/30/2004,2675
10/4/2003,2808
10/16/2004,2505
11/4/2004,2985
11/15/2004,2525
11/24/2004,4136
1/6/2005,4069
2/9/2005,5182
3/3/2005,5244
4/14/2005,9048
5/17/2005,3833
1/29/2003,3920
3/26/2003,4917
5/28/2003,3857
7/24/2003,4181
9/19/2003,4641
10/21/2003,3570
11/6/2003,4480
11/13/2003,2034
11/25/2003,1960
12/5/2003,3967
1/29/2004,5152
3/10/2004,3360
5/4/2004,3451
6/15/2004,5453
7/19/2004,4164
8/17/2004,2800
9/8/2004,4688
10/11/2004,4508
10/21/2004,4181
11/4/2004,2251
11/18/2004,1167
11/29/2004,2083
12/10/2004,3822
1/20/2005,3911
2/17/2005,4704
3/9/2005,2468
5/1/2005,3213
5/31/2005,7182
3/10/2003,4379
5/8/2003,5005
7/4/2003,3645
9/11/2003,2702
10/17/2003,3765
11/5/2003,4508
11/12/2003,5418
11/20/2003,3301
12/2/2003,6182
1/16/2004,4187
2/22/2004,4529
4/13/2004,5629
6/1/2004,3054
7/6/2004,2527
8/6/2004,4668
8/30/2004,6499
10/5/2003,5918
10/16/2004,6232
11/4/2004,5803
11/17/2004,6434
11/24/2004,6454
12/9/2004,4197
1/7/2005,2612
2/9/2005,5895
3/4/2005,3376
4/15/2005,8375
5/17/2005,4464
1/10/2003,4808
3/25/2003,3289
5/21/2003,3255
7/16/2003,3185
9/12/2003,5908
10/18/2003,4389
11/5/2003,5036
11/12/2003,2183
11/21/2003,3107
12/3/2003,3736
1/29/2004,2413
3/2/2004,2954
4/29/2004,4685
6/8/2004,3249
8/17/2004,5240
9/3/2004,4568
10/11/2004,3535
10/21/2004,3843
11/4/2004,3711
11/17/2004,4376
11/29/2004,1517
12/9/2004,2509
1/20/2005,9240
2/16/2005,2515
3/9/2005,5549
5/30/2005,4873
1/10/2003,2056
3/25/2003,2355
5/28/2003,2310
7/16/2003,2113
9/12/2003,1747
10/18/2003,2304
11/5/2003,2122
11/12/2003,1742
11/21/2003,2455
12/3/2003,3053
1/29/2004,1423
3/2/2004,1504
4/29/2004,1164
6/8/2004,1501
8/17/2004,1557
9/3/2004,1346
10/11/2004,1795
10/21/2004,1105
11/4/2004,2365
11/17/2004,2427
11/29/2004,1238
12/9/2004,1593
1/20/2005,3156
2/17/2005,1321
3/9/2005,4998
5/30/2005,1294
3/18/2003,5433
5/20/2003,3074
7/10/2003,4380
9/11/2003,5849
10/17/2003,6154
11/5/2003,4965
11/12/2003,5436
11/20/2003,4258
12/2/2003,4032
1/16/2004,4492
2/26/2004,4161
4/13/2004,2509
6/1/2004,3375
7/6/2004,5197
8/6/2004,2605
9/1/2004,2937
10/5/2003,3425
10/16/2004,2923
11/4/2004,4490
11/17/2004,4849
11/24/2004,5849
1/12/2005,2759
2/10/2005,1450
4/22/2005,7048
5/17/2005,5203
2/17/2003,5279
4/28/2003,6916
6/16/2003,2782
8/10/2003,5248
10/6/2003,6531
10/23/2003,5764
11/8/2003,6491
11/14/2003,6005
11/27/2003,7484
1/12/2004,5720
2/19/2004,6954
5/11/2004,8160
6/24/2004,6568
7/21/2004,6724
8/21/2004,5748
9/15/2004,5677
10/14/2004,7380
11/1/2004,3704
11/10/2004,2805
11/22/2004,5625
12/3/2004,3881
1/31/2005,1611
3/1/2005,1364
3/30/2005,4215
4/1/2005,6434
5/10/2005,4352
1/6/2003,5151
3/18/2003,6069
5/21/2003,2856
9/12/2003,5375
10/18/2003,5177
11/5/2003,3509
11/12/2003,7555
11/21/2003,3142
12/2/2003,5891
1/26/2004,5967
3/2/2004,3713
4/13/2004,7597
8/17/2004,3669
9/1/2004,5875
10/6/2003,7310
10/21/2004,8078
11/17/2004,3258
11/25/2004,7650
1/12/2005,4704
2/10/2005,5400
4/22/2005,14083
5/29/2005,5284
3/3/2003,3131
5/8/2003,3112
7/2/2003,3807
9/5/2003,2142
10/11/2003,3365
11/4/2003,1263
11/12/2003,1626
11/20/2003,4089
12/2/2003,3846
1/16/2004,1340
2/22/2004,3040
4/12/2004,3400
6/1/2004,1930
7/6/2004,2465
8/6/2004,2635
8/30/2004,3625
10/4/2003,3788
10/16/2004,1833
11/4/2004,2906
11/15/2004,2955
11/24/2004,3600
1/6/2005,3687
2/9/2005,2101
3/3/2005,3882
4/14/2005,4509
5/17/2005,3273
3/10/2003,4433
5/8/2003,4101
7/4/2003,5275
9/11/2003,4232
10/17/2003,6145
11/5/2003,4680
11/12/2003,3286
11/20/2003,7421
12/2/2003,6433
1/16/2004,4841
2/26/2004,3892
4/13/2004,5526
6/1/2004,4460
7/6/2004,6203
8/6/2004,3754
8/30/2004,3516
10/5/2003,7488
10/16/2004,3448
11/4/2004,3734
11/17/2004,974
11/24/2004,3161
12/9/2004,1747
1/10/2005,4208
2/9/2005,4353
3/4/2005,1464
4/15/2005,7169
5/17/2005,4595
1/31/2003,3458
4/4/2003,7381
6/3/2003,7147
8/1/2003,5939
9/21/2003,7111
10/22/2003,5033
11/6/2003,3668
11/14/2003,7381
11/25/2003,5128
12/9/2003,7060
2/10/2004,8449
3/15/2004,7301
5/5/2004,6549
6/15/2004,5698
7/20/2004,9169
8/20/2004,3239
9/8/2004,4555
10/13/2004,3934
10/22/2004,5776
11/5/2004,7207
11/20/2004,7461
12/1/2004,6720
12/10/2004,2428
1/23/2005,2602
2/17/2005,2200
5/3/2005,6713
5/31/2005,5318
1/6/2003,3390
3/18/2003,1608
5/21/2003,2263
9/12/2003,1497
10/18/2003,1880
11/5/2003,1495
11/12/2003,2324
11/21/2003,2492
12/2/2003,1643
1/26/2004,1322
3/2/2004,1424
4/13/2004,2397
8/17/2004,1574
9/1/2004,1729
10/6/2004,2256
10/21/2004,1835
11/17/2004,3202
11/25/2004,2276
1/12/2005,8885
2/10/2005,1331
4/22/2005,3051
5/29/2005,2289
1/31/2003,3773
4/1/2003,4164
6/3/2003,6296
8/1/2003,6288
9/21/2003,5413
10/22/2003,5984
11/6/2003,5891
11/14/2003,5984
11/25/2003,3608
12/9/2003,5753
3/11/2004,3765
5/5/2004,2160
6/15/2004,3380
7/20/2004,5094
8/19/2004,5773
9/8/2004,4529
10/13/2004,4816
10/22/2004,3417
11/5/2004,1237
11/19/2004,5815
12/1/2004,5223
12/10/2004,728
1/20/2005,3949
2/22/2005,3844
5/3/2005,5498
5/31/2005,3778
1/9/2003,3782
3/18/2003,3860
5/21/2003,4432
9/12/2003,4950
10/18/2003,4300
11/5/2003,4493
11/12/2003,2212
11/21/2003,4643
12/2/2003,3206
1/26/2004,3604
3/2/2004,7018
4/26/2004,6154
8/17/2004,4751
9/1/2004,3823
10/11/2004,2441
10/21/2004,4729
11/4/2004,12537
11/17/2004,2264
11/25/2004,3928
12/9/2004,3630
1/12/2005,4196
2/16/2005,4932
3/4/2005,3069
4/23/2005,786
5/29/2005,4977
1/29/2003,1190
4/1/2003,3090
5/28/2003,2796
7/24/2003,2852
9/21/2003,2702
10/22/2003,2204
11/6/2003,2840
11/14/2003,2647
11/25/2003,3172
12/9/2003,2586
2/4/2004,2148
3/11/2004,1667
5/5/2004,1860
6/15/2004,1477
7/20/2004,1732
8/19/2004,1674
9/8/2004,1501
10/13/2004,2193
10/22/2004,1798
11/4/2004,2142
11/19/2004,2087
11/29/2004,6835
12/10/2004,2542
1/20/2005,2131
2/17/2005,1702
3/9/2005,1694
5/3/2005,2914
5/31/2005,935
2/17/2003,3073
4/29/2003,2082
6/27/2003,3394
8/25/2003,2560
10/28/2003,1490
1/12/2004,3844
2/20/2004,4725
4/2/2004,1825
5/11/2004,2669
6/28/2004,2844
7/23/2004,3164
8/21/2004,2226
9/16/2004,2070
10/15/2004,2235
11/2/2004,3116
11/10/2004,4782
11/23/2004,2811
12/4/2004,3516
2/2/2005,2909
3/1/2005,1570
3/30/2005,2614
4/3/2005,3193
5/10/2005,1483
2/24/2003,2055
4/29/2003,2675
7/1/2003,1853
8/25/2003,1490
10/10/2003,2162
10/28/2003,2814
11/11/2003,1605
11/18/2003,2093
12/1/2003,1944
1/12/2004,1987
2/20/2004,1696
4/3/2004,1282
5/18/2004,1774
6/28/2004,1998
7/23/2004,2353
8/27/2004,981
9/27/2004,1551
10/15/2004,1771
11/2/2004,2213
11/15/2004,5266
11/23/2004,1865
1/5/2005,1142
2/2/2005,1173
3/3/2005,6981
4/7/2005,3065
5/13/2005,2202
1/9/2003,3773
3/18/2003,5074
5/21/2003,6483
7/16/2003,7956
9/12/2003,4231
10/18/2003,7209
11/5/2003,3453
11/12/2003,3048
11/21/2003,3675
12/3/2003,7492
1/26/2004,9535
3/2/2004,5579
4/29/2004,5950
6/4/2004,3726
8/17/2004,4455
9/3/2004,8272
10/11/2004,3578
10/21/2004,3881
11/4/2004,5797
11/17/2004,1264
11/29/2004,4815
12/9/2004,4462
1/12/2005,3033
2/16/2005,991
3/4/2005,2031
5/29/2005,5434
3/10/2003,3157
5/20/2003,5161
7/10/2003,4347
9/11/2003,3528
10/17/2003,3188
11/5/2003,6023
11/12/2003,3885
11/20/2003,4966
12/2/2003,4170
1/16/2004,4910
2/26/2004,3231
4/13/2004,6853
6/1/2004,5177
7/6/2004,2825
8/6/2004,4324
8/30/2004,5053
10/5/2003,3223
10/16/2004,5279
11/4/2004,2851
11/17/2004,1687
11/24/2004,1308
1/10/2005,6145
2/10/2005,5127
4/22/2005,6386
5/17/2005,7696
1/29/2003,2243
3/24/2003,2540
5/28/2003,2795
7/16/2003,5546
9/19/2003,4285
10/20/2003,3329
11/6/2003,5592
11/13/2003,3299
11/21/2003,2610
12/5/2003,3336
1/29/2004,5510
3/10/2004,2504
4/29/2004,3526
6/14/2004,4407
7/19/2004,2983
8/17/2004,5126
9/8/2004,5714
10/11/2004,4614
10/21/2004,3711
11/4/2004,3525
11/18/2004,2795
11/29/2004,4814
12/10/2004,3572
1/20/2005,4581
2/17/2005,4320
3/9/2005,1448
5/30/2005,881
1/29/2003,2011
3/25/2003,1801
5/28/2003,3390
7/16/2003,1424
9/19/2003,1499
10/20/2003,3358
11/5/2003,1504
11/13/2003,2655
11/21/2003,1244
12/5/2003,1889
1/29/2004,1820
3/10/2004,2867
4/29/2004,1394
6/14/2004,2632
7/16/2004,2019
8/17/2004,2955
9/8/2004,1872
10/11/2004,1559
10/21/2004,1880
11/4/2004,1225
11/17/2004,2979
11/29/2004,2209
12/10/2004,3458
1/20/2005,1238
2/17/2005,2723
3/10/2005,2219
5/30/2005,1665
2/17/2003,3421
4/28/2003,1879
6/16/2003,3854
8/10/2003,3443
10/6/2003,3482
10/23/2003,3364
11/8/2003,3351
11/14/2003,2863
11/26/2003,4036
1/9/2004,2818
2/19/2004,4636
5/7/2004,1554
6/24/2004,2698
7/21/2004,3334
8/20/2004,2059
9/15/2004,2023
10/14/2004,2587
11/1/2004,1987
11/10/2004,1147
11/22/2004,2312
12/2/2004,2794
1/31/2005,1908
3/1/2005,3441
3/30/2005,2023
4/1/2005,2245
5/6/2005,3255
1/29/2003,2540
3/25/2003,4818
5/28/2003,2922
7/16/2003,1801
9/19/2003,2804
10/20/2003,4901
11/5/2003,2759
11/13/2003,2488
11/21/2003,2770
12/5/2003,3581
1/29/2004,5285
3/10/2004,3182
4/29/2004,3341
6/14/2004,3138
7/19/2004,4775
8/17/2004,3006
9/8/2004,2866
10/11/2004,2233
10/21/2004,4457
11/4/2004,2258
11/17/2004,1592
11/29/2004,4948
12/10/2004,5161
1/20/2005,1979
2/17/2005,4288
3/10/2005,2521
5/30/2005,1781
2/11/2003,3065
4/16/2003,3551
6/6/2003,5544
8/8/2003,6034
9/28/2003,3642
10/21/2003,6931
11/7/2003,3676
11/14/2003,3442
11/26/2003,6894
1/2/2004,2622
2/18/2004,4417
3/20/2004,3606
5/7/2004,3803
7/21/2004,5026
8/20/2004,6696
9/9/2004,2819
10/14/2004,3759
10/22/2004,2732
11/5/2004,1659
11/20/2004,5778
12/2/2004,5191
1/26/2005,3863
2/22/2005,1476
3/23/2005,5274
5/6/2005,4872
1/31/2003,4557
3/10/2003,8257
4/1/2003,8209
5/8/2003,3599
6/3/2003,3837
7/4/2003,8332
8/1/2003,4837
9/11/2003,5419
9/21/2003,3734
10/11/2003,3996
10/22/2003,8755
11/5/2003,5481
11/6/2003,4420
11/12/2003,6325
11/14/2003,4410
11/20/2003,3918
11/25/2003,7621
12/2/2003,8291
12/9/2003,3937
1/16/2004,5554
2/22/2004,6408
3/11/2004,4173
4/12/2004,7083
5/5/2004,7133
6/1/2004,6774
6/15/2004,3658
7/6/2004,4813
7/20/2004,3929
8/6/2004,6401
8/19/2004,4191
8/30/2004,5853
9/8/2004,2845
10/5/2003,4012
10/13/2004,7456
10/16/2004,8941
10/22/2004,4572
11/4/2004,5700
11/5/2004,3155
11/17/2004,4171
11/19/2004,2879
11/24/2004,5030
12/1/2004,7397
12/10/2004,2992
1/10/2005,6276
1/20/2005,1535
2/9/2005,7265
2/22/2005,6869
3/15/2005,3353
4/14/2005,8289
5/3/2005,11888
5/17/2005,5927
5/31/2005,3793
2/11/2003,4330
4/16/2003,2012
6/6/2003,4837
8/8/2003,2152
9/28/2003,2573
10/22/2003,5345
11/7/2003,3071
11/14/2003,3953
11/26/2003,3565
1/2/2004,5615
2/18/2004,1855
3/20/2004,4598
5/7/2004,5082
7/21/2004,5451
8/20/2004,4175
9/9/2004,2418
10/14/2004,3670
10/22/2004,2482
11/9/2004,3808
11/20/2004,2230
12/2/2004,3815
1/26/2005,2118
2/22/2005,3340
3/23/2005,2154
5/6/2005,5808
3/3/2003,1777
5/8/2003,1537
7/2/2003,3510
9/5/2003,3097
10/10/2003,1705
11/4/2003,2264
11/12/2003,2485
11/20/2003,3416
12/2/2003,2839
1/15/2004,2730
2/22/2004,3541
4/9/2004,3000
5/26/2004,1528
7/2/2004,3908
8/2/2004,2658
8/30/2004,3043
10/4/2003,3861
10/16/2004,2171
11/3/2004,3403
11/15/2004,2246
11/24/2004,1669
1/6/2005,2774
2/10/2005,2464
3/4/2005,5492
1/29/2003,4792
3/25/2003,4179
5/28/2003,3129
7/16/2003,3095
9/12/2003,3959
10/20/2003,4991
11/5/2003,2762
11/12/2003,2848
11/21/2003,2540
12/5/2003,2444
1/29/2004,4556
3/2/2004,3667
4/29/2004,3036
6/14/2004,2322
8/17/2004,3474
9/7/2004,2502
10/11/2004,3958
10/21/2004,3536
11/5/2004,3012
11/18/2004,11337
11/29/2004,2657
12/10/2004,2604
1/20/2005,3289
2/17/2005,8936
3/10/2005,4036
5/30/2005,1875
3/3/2003,4050
5/8/2003,2469
7/2/2003,5433
9/5/2003,4405
10/10/2003,3638
11/4/2003,4445
11/12/2003,3395
11/20/2003,3415
12/2/2003,5127
1/15/2004,3745
2/22/2004,4564
4/9/2004,6554
5/26/2004,6750
7/2/2004,8427
8/2/2004,3925
8/30/2004,6762
10/4/2003,3786
10/16/2004,6266
11/3/2004,3491
11/16/2004,4405
11/24/2004,6548
12/7/2004,3178
1/6/2005,4143
2/10/2005,4149
3/4/2005,7397
3/10/2003,6242
5/20/2003,5332
7/10/2003,5124
9/11/2003,3639
10/17/2003,5544
11/5/2003,5493
11/12/2003,5785
11/20/2003,5341
12/2/2003,5736
1/16/2004,6358
2/26/2004,7344
4/13/2004,5959
6/1/2004,4029
7/6/2004,5035
8/6/2004,4117
8/30/2004,4311
10/5/2003,6447
10/16/2004,3617
11/4/2004,4233
11/17/2004,1766
11/24/2004,3735
1/12/2005,4808
2/10/2005,2267
4/15/2005,10469
5/17/2005,5589
3/3/2003,2914
5/8/2003,1741
7/2/2003,2266
9/3/2003,3156
10/10/2003,1358
11/4/2003,2599
11/11/2003,1058
11/20/2003,3128
1/15/2004,2488
2/21/2004,2221
4/5/2004,1358
5/26/2004,1638
6/30/2004,2626
8/2/2004,1662
8/28/2004,2174
9/30/2004,2182
10/16/2004,2820
11/3/2004,2599
11/16/2004,2019
11/24/2004,1455
12/7/2004,1658
1/6/2005,2852
2/10/2005,4610
3/4/2005,5080
4/8/2005,1880
2/17/2003,4775
4/28/2003,2687
6/16/2003,3424
8/10/2003,3456
10/6/2003,3623
10/23/2003,3600
11/8/2003,5387
11/14/2003,4919
11/26/2003,2539
1/9/2004,2499
2/19/2004,3859
5/8/2004,5601
6/24/2004,4103
7/21/2004,4288
8/20/2004,5796
9/15/2004,1863
10/14/2004,4167
11/1/2004,4080
11/12/2004,3815
11/22/2004,5526
12/3/2004,3375
1/31/2005,3025
3/1/2005,1266
3/30/2005,4812
4/1/2005,7307
5/9/2005,6209
1/31/2003,5349
4/16/2003,2781
6/3/2003,3447
8/8/2003,3792
9/25/2003,4524
10/22/2003,3338
11/6/2003,5532
11/14/2003,5097
11/26/2003,4537
12/9/2003,6147
2/12/2004,8258
3/15/2004,7238
5/5/2004,6756
7/20/2004,3734
8/20/2004,4675
9/8/2004,7141
10/14/2004,3601
10/22/2004,4207
11/5/2004,5380
11/21/2004,5679
12/1/2004,4395
12/10/2004,2528
1/26/2005,7032
2/22/2005,5341
3/15/2005,6377
5/5/2005,6897
1/6/2003,1903
3/18/2003,2500
5/21/2003,3081
9/11/2003,3598
10/18/2003,3912
11/5/2003,1585
11/12/2003,3943
11/21/2003,2341
12/2/2003,2482
1/22/2004,3602
3/2/2004,3567
4/13/2004,3788
8/17/2004,3704
9/1/2004,2835
10/6/2003,3392
10/16/2004,3358
11/17/2004,7310
11/25/2004,2203
1/12/2005,2697
2/16/2005,3377
4/22/2005,541
5/29/2005,6135
2/11/2003,3383
4/16/2003,2241
6/6/2003,3963
8/8/2003,1685
9/28/2003,1834
10/21/2003,1917
11/7/2003,2611
11/14/2003,3630
11/26/2003,5091
1/2/2004,3950
2/18/2004,3492
3/20/2004,2059
5/7/2004,3170
6/17/2004,1791
7/21/2004,2346
8/20/2004,3581
9/9/2004,4946
10/14/2004,3526
10/29/2004,3602
11/9/2004,4301
11/21/2004,4498
12/2/2004,3023
1/26/2005,3562
2/22/2005,1640
3/23/2005,4739
5/6/2005,1208
1/29/2003,4228
4/1/2003,4815
5/28/2003,7083
7/24/2003,4601
9/19/2003,6467
10/21/2003,5013
11/6/2003,5122
11/13/2003,2441
11/25/2003,4262
12/9/2003,6658
2/4/2004,4509
3/11/2004,4716
5/4/2004,2390
6/15/2004,4667
7/19/2004,5383
8/19/2004,2482
9/8/2004,5289
10/13/2004,2184
10/22/2004,2882
11/5/2004,6203
11/19/2004,6763
11/29/2004,5885
12/10/2004,3560
1/20/2005,1668
2/17/2005,4891
5/1/2005,5236
5/31/2005,4325
1/29/2003,1939
3/26/2003,2491
5/28/2003,2315
7/24/2003,1255
9/19/2003,1283
10/21/2003,1346
11/6/2003,2194
11/13/2003,1972
11/25/2003,1836
12/5/2003,1120
1/29/2004,2083
3/11/2004,1570
5/4/2004,2694
6/15/2004,1257
7/19/2004,2568
8/19/2004,2634
9/8/2004,1503
10/11/2004,1676
10/21/2004,2217
11/5/2004,6832
11/18/2004,1917
11/1/2004,7111
12/10/2004,5303
1/20/2005,2730
2/17/2005,7827
5/1/2005,2095
5/31/2005,1557
3/3/2003,5565
5/8/2003,3583
7/2/2003,4705
9/3/2003,4445
10/10/2003,4619
11/4/2003,4910
11/11/2003,5565
11/20/2003,4238
1/15/2004,5674
2/22/2004,5260
4/9/2004,6351
5/26/2004,3559
6/30/2004,2411
8/2/2004,5714
8/30/2004,4300
9/30/2004,7947
10/16/2004,5357
11/3/2004,7901
11/16/2004,6101
11/24/2004,6276
12/7/2004,4204
1/6/2005,1629
2/10/2005,3290
3/4/2005,6863
3/18/2003,2574
5/21/2003,1328
9/11/2003,2356
10/17/2003,2014
11/5/2003,2807
11/12/2003,3073
