"WellReadingID","WellDeviceID","DateTime","CH4","CO2","O2","Ini Pressure","Adj Pressure","GasTemp","RefStaticPress","N2","AdjGasTemp"
"2205","44","1/16/2004 12:51:00","39.3","32.7","0.1","-98789","-1.7","NULL","NULL","NULL","86"
"2","1","1/16/2004 12:57:00","48","36.7","0","-98789","-1.9","NULL","NULL","NULL","82"
"1947","39","1/16/2004 13:05:00","45.2","37.2","0","-98789","-0.7","NULL","NULL","NULL","80"
"2254","45","1/16/2004 13:13:00","46.6","37.2","0","-98789","-0.6","NULL","NULL","NULL","79"
"2567","51","1/16/2004 13:23:00","35","32.9","0.7","-98789","0.1","NULL","NULL","NULL","70"
"2618","52","1/16/2004 13:28:00","15.7","23.8","0","-98789","0.1","NULL","NULL","NULL","69"
"2721","54","1/16/2004 13:34:00","11.3","7.2","14.1","-98789","0","NULL","NULL","NULL","70"
"2772","55","1/16/2004 13:41:00","42.1","35.4","0","-98789","-1.3","NULL","NULL","NULL","81"
"2824","56","1/16/2004 13:47:00","56.8","39.8","0","-98789","-0.9","NULL","NULL","NULL","80"
"2512","50","1/16/2004 13:52:00","57.1","40.5","0","-98789","-0.9","NULL","NULL","NULL","80"
"3081","61","1/16/2004 14:00:00","48.6","36.9","0","-98789","-1.7","NULL","NULL","NULL","80"
"52","2","1/19/2004 8:35:00","34.9","33","0.1","-98789","0.3","NULL","NULL","NULL","70"
"102","3","1/19/2004 8:35:00","32.4","29.4","2","-98789","-0.5","NULL","NULL","NULL","54"
"4193","83","1/19/2004 8:35:00","54.8","38.6","0","-98789","-0.7","NULL","NULL","NULL","74"
"4244","84","1/19/2004 8:35:00","48.8","33.9","0","-98789","-0.5","NULL","NULL","NULL","74"
"4397","87","1/19/2004 8:35:00","40","26.3","3.5","-98789","0","NULL","NULL","NULL","60"
"4448","88","1/19/2004 8:35:00","4.3","3.4","19","-98789","0.1","NULL","NULL","NULL","70"
"4499","89","1/19/2004 8:35:00","18.6","14.5","12.3","-98789","0.2","NULL","NULL","NULL","62"
"4549","90","1/19/2004 8:35:00","47.8","35.6","0","-98789","0.2","NULL","NULL","NULL","60"
"4599","91","1/19/2004 8:35:00","15.9","11.6","15","-98789","0.1","NULL","NULL","NULL","60"
"4649","92","1/19/2004 8:35:00","33.3","27.4","0","-98789","0.1","NULL","NULL","NULL","60"
"2360","47","1/19/2004 8:35:00","54.9","39.2","0.3","-98789","0.3","NULL","NULL","NULL","74"
"2413","48","1/19/2004 8:35:00","24.1","26.5","3.2","-98789","0.3","NULL","NULL","NULL","70"
"2462","49","1/19/2004 8:35:00","31.3","30.9","0","-98789","0","NULL","NULL","NULL","82"
"2876","57","1/19/2004 8:35:00","40.2","34.7","0","-98789","0.2","NULL","NULL","NULL","80"
"2927","58","1/19/2004 8:35:00","41.6","37","0.3","-98789","0.2","NULL","NULL","NULL","68"
"2978","59","1/19/2004 8:35:00","23.3","26.7","0.1","-98789","-0.2","NULL","NULL","NULL","70"
"3027","60","1/19/2004 8:35:00","49.1","34.9","0","-98789","-0.8","NULL","NULL","NULL","80"
"3132","62","1/19/2004 8:35:00","24.9","25.5","4.3","-98789","-0.4","NULL","NULL","NULL","52"
"3388","67","1/19/2004 8:35:00","31","30.4","0","-98789","0","NULL","NULL","NULL","72"
"3437","68","1/19/2004 8:35:00","21.3","27.1","0","-98789","0","NULL","NULL","NULL","72"
"3488","69","1/19/2004 8:35:00","27.6","25.5","4.6","-98789","0","NULL","NULL","NULL","70"
"4697","93","1/19/2004 8:35:00","43.2","35.9","0.2","-98789","0","NULL","NULL","NULL","58"
"4747","94","1/19/2004 8:35:00","34.9","25.4","0","-98789","0.1","NULL","NULL","NULL","52"
"4797","95","1/19/2004 8:35:00","35.1","27.4","0.1","-98789","0","NULL","NULL","NULL","52"
"1841","37","1/19/2004 8:35:00","56.7","39.1","0","-98789","0.3","NULL","NULL","NULL","78"
"1893","38","1/19/2004 8:35:00","37.9","34.3","0","-98789","0.2","NULL","NULL","NULL","92"
"2308","46","1/19/2004 8:35:00","25.9","28.5","0","-98789","0.1","NULL","NULL","NULL","78"
"1629","33","1/19/2004 8:35:00","35.5","34","0","-98789","0","NULL","NULL","NULL","74"
"1682","34","1/19/2004 8:35:00","31.3","32.9","0","-98789","0.3","NULL","NULL","NULL","70"
"1734","35","1/19/2004 8:35:00","25.9","28.6","0","-98789","0.2","NULL","NULL","NULL","80"
"1788","36","1/19/2004 8:35:00","14.3","11.3","12.4","-98789","0.4","NULL","NULL","NULL","70"
"3690","73","1/19/2004 8:35:00","43.2","32.5","0","-98789","-0.7","NULL","NULL","NULL","76"
"3842","76","1/19/2004 8:35:00","55.3","33.6","0.7","-98789","-0.3","NULL","NULL","NULL","58"
"3891","77","1/19/2004 8:35:00","50.8","35.4","0","-98789","-0.5","NULL","NULL","NULL","80"
"3943","78","1/19/2004 8:35:00","39.5","32.1","0.5","-98789","-0.2","NULL","NULL","NULL","60"
"3993","79","1/19/2004 8:35:00","0.2","0.4","20.6","-98789","0.3","NULL","NULL","NULL","68"
"4042","80","1/19/2004 8:35:00","17.7","25.8","0","-98789","0","NULL","NULL","NULL","82"
"4092","81","1/19/2004 8:35:00","35.7","29.9","0.6","-98789","0.1","NULL","NULL","NULL","60"
"4142","82","1/19/2004 8:35:00","38.4","28.3","4.6","-98789","0.2","NULL","NULL","NULL","62"
"3235","64","1/19/2004 8:35:00","23.2","27.5","0","-98789","0","NULL","NULL","NULL","80"
"3283","65","1/19/2004 8:35:00","46.7","35.1","0","-98789","-0.7","NULL","NULL","NULL","76"
"3336","66","1/19/2004 8:35:00","26.8","17.9","10.2","-98789","-0.4","NULL","NULL","NULL","60"
"3538","70","1/19/2004 8:35:00","15.6","10.2","13","-98789","0.2","NULL","NULL","NULL","0"
"3588","71","1/19/2004 8:35:00","46.7","34","0","-98789","-0.7","NULL","NULL","NULL","74"
"3639","72","1/19/2004 8:35:00","47.8","34.3","0","-98789","-1","NULL","NULL","NULL","80"
"256","6","1/27/2004 9:04:00","1.5","3.1","18.1","-98789","-0.1","NULL","NULL","NULL","52"
"4798","95","1/27/2004 9:11:00","39","23.6","1","-98789","-0.1","NULL","NULL","NULL","58"
"311","7","1/27/2004 9:16:00","23.6","19.7","3.4","-98789","0","NULL","NULL","NULL","0"
"361","8","1/27/2004 9:20:00","16","21.9","0.1","-98789","-0.2","NULL","NULL","NULL","56"
"4347","86","1/27/2004 9:25:00","39.5","28.4","0.2","-98789","-1.8","NULL","NULL","NULL","80"
"414","9","1/27/2004 9:45:00","19.6","19.6","1.1","-98789","-0.1","NULL","NULL","NULL","56"
"465","10","1/27/2004 9:49:00","16.6","15.3","6.9","-98789","-0.3","NULL","NULL","NULL","58"
"3794","75","1/27/2004 9:54:00","2.3","5.1","15.7","-98789","-0.3","NULL","NULL","NULL","60"
"4297","85","1/27/2004 10:00:00","29.1","28","0.1","-98789","-0.2","NULL","NULL","NULL","60"
"514","11","1/27/2004 10:07:00","10.1","21.6","0.4","-98789","0","NULL","NULL","NULL","72"
"565","12","1/27/2004 10:12:00","1.9","17.3","0.5","-98789","-0.2","NULL","NULL","NULL","80"
"3236","64","1/27/2004 10:18:00","22.5","26.5","0","-98789","-1.9","NULL","NULL","NULL","76"
"3744","74","1/27/2004 10:24:00","26.8","27.7","1.4","-98789","-0.3","NULL","NULL","NULL","64"
"615","13","1/27/2004 10:31:00","1.9","9.3","9.3","-98789","-0.3","NULL","NULL","NULL","60"
"664","14","1/27/2004 10:36:00","2.4","17.2","0.2","-98789","-0.2","NULL","NULL","NULL","62"
"207","5","1/27/2004 10:41:00","20","26.3","0.3","-98789","-2.5","NULL","NULL","NULL","78"
"3183","63","1/27/2004 10:46:00","17.5","24.5","0.6","-98789","-2.7","NULL","NULL","NULL","80"
"714","15","1/27/2004 10:55:00","8.1","18.7","0.9","-98789","-0.2","NULL","NULL","NULL","68"
"765","16","1/27/2004 11:00:00","11","16.4","6.9","-98789","-0.1","NULL","NULL","NULL","66"
"2157","43","1/27/2004 11:05:00","0.3","0.1","21.9","-98789","-0.3","NULL","NULL","NULL","70"
"2672","53","1/27/2004 11:10:00","24.2","27.6","0.8","-98789","-2.8","NULL","NULL","NULL","72"
"815","17","1/27/2004 11:20:00","18.8","19.1","4.2","-98789","0","NULL","NULL","NULL","19"
"866","18","1/27/2004 11:35:00","0.2","0","21.9","-98789","0.1","NULL","NULL","NULL","62"
"1021","21","1/27/2004 11:40:00","32.1","29.7","0.5","-98789","-2.9","NULL","NULL","NULL","80"
"2105","42","1/27/2004 11:47:00","9.9","6.9","16.1","-98789","0","NULL","NULL","NULL","68"
"917","19","1/27/2004 11:53:00","14.6","24.7","0.3","-98789","0.1","NULL","NULL","NULL","66"
"970","20","1/27/2004 11:59:00","4.2","3.3","17.7","-98789","0.1","NULL","NULL","NULL","64"
"1121","23","1/27/2004 12:03:00","22.6","29","0.2","-98789","0.2","NULL","NULL","NULL","60"
"1071","22","1/27/2004 12:11:00","39.7","34.2","0.4","-98789","0.1","NULL","NULL","NULL","74"
"1221","25","1/27/2004 12:21:00","2.3","2.6","18.7","-98789","0.1","NULL","NULL","NULL","70"
"156","4","1/27/2004 12:27:00","39.7","30.8","0.5","-98789","-3.3","NULL","NULL","NULL","80"
"1320","27","1/27/2004 12:33:00","38.2","32.7","0.3","-98789","0.2","NULL","NULL","NULL","66"
"1374","28","1/27/2004 12:40:00","7.2","13.1","7.7","-98789","0.2","NULL","NULL","NULL","76"
"1475","30","1/27/2004 12:49:00","27.7","29.8","0.7","-98789","-2.3","NULL","NULL","NULL","80"
"1527","31","1/27/2004 12:54:00","7.2","20.2","0.1","-98789","0","NULL","NULL","NULL","72"
"1578","32","1/27/2004 12:59:00","35.2","33.5","0.7","-98789","0.2","NULL","NULL","NULL","72"
"1630","33","1/27/2004 13:03:00","34.8","33.2","0.3","-98789","-1.7","NULL","NULL","NULL","76"
"1424","29","1/27/2004 13:10:00","38.1","33.5","0.4","-98789","-2.2","NULL","NULL","NULL","80"
"1267","26","1/27/2004 13:15:00","42.9","33.4","0.3","-98789","-3.1","NULL","NULL","NULL","77"
"1171","24","1/27/2004 13:20:00","24.9","25.5","2.9","-98789","0.3","NULL","NULL","NULL","80"
"2054","41","1/27/2004 13:25:00","45.3","32.3","0.5","-98789","0.3","NULL","NULL","NULL","78"
"2004","40","1/27/2004 13:30:00","47.6","32.8","0.4","-98789","-2.2","NULL","NULL","NULL","78"
"1948","39","1/27/2004 13:35:00","43.3","35.8","0.1","-98789","-1.3","NULL","NULL","NULL","80"
"3","1","1/28/2004 7:59:00","44.3","33.6","0.7","-98789","-2.9","NULL","NULL","NULL","82"
"2206","44","1/28/2004 8:05:00","36.7","30.2","0.7","-98789","-2.9","NULL","NULL","NULL","84"
"2619","52","1/28/2004 8:12:00","12.4","22.8","0.3","-98789","-0.4","NULL","NULL","NULL","56"
"2568","51","1/28/2004 8:17:00","33","32.2","1.1","-98789","-0.3","NULL","NULL","NULL","52"
"2513","50","1/28/2004 8:24:00","55.1","37.7","0.3","-98789","-1.2","NULL","NULL","NULL","76"
"2255","45","1/28/2004 8:30:00","43.4","36.1","0.2","-98789","-0.8","NULL","NULL","NULL","76"
"2773","55","1/28/2004 8:38:00","39.2","33.9","0.2","-98789","-1.2","NULL","NULL","NULL","80"
"2722","54","1/28/2004 8:44:00","9.9","7.4","14","-98789","-0.3","NULL","NULL","NULL","56"
"3133","62","1/28/2004 8:50:00","22.4","24.4","4.8","-98789","-0.4","NULL","NULL","NULL","52"
"3082","61","1/28/2004 8:56:00","45.9","34.6","0.3","-98789","-1.7","NULL","NULL","NULL","80"
"3028","60","1/28/2004 9:01:00","45.8","33.2","0.9","-98789","0","NULL","NULL","NULL","80"
"2825","56","1/28/2004 9:09:00","54.1","37.4","0.7","-98789","-0.9","NULL","NULL","NULL","80"
"3285","65","1/28/2004 9:16:00","44.6","35","0.1","-98789","-1.2","NULL","NULL","NULL","78"
"103","3","1/28/2004 9:21:00","29.8","28.4","2.2","-98789","-0.3","NULL","NULL","NULL","58"
"3691","73","1/28/2004 9:27:00","41.2","31.9","0.2","-98789","-0.7","NULL","NULL","NULL","72"
"3640","72","1/28/2004 9:33:00","46.7","34","0.1","-98789","-0.9","NULL","NULL","NULL","80"
"3589","71","1/28/2004 9:39:00","44.2","33.8","0.2","-98789","-0.7","NULL","NULL","NULL","78"
"3337","66","1/28/2004 9:45:00","19.8","14","12.3","-98789","-0.2","NULL","NULL","NULL","64"
"3892","77","1/28/2004 9:53:00","47.6","34","0.4","-98789","-0.7","NULL","NULL","NULL","80"
"3843","76","1/28/2004 10:00:00","53.3","32.5","1.4","-98789","0","NULL","NULL","NULL","62"
"4245","84","1/28/2004 10:09:00","46.3","32.9","0.5","-98789","-0.7","NULL","NULL","NULL","72"
"4194","83","1/28/2004 10:15:00","32768","43.3","0.3","-98789","-0.5","NULL","NULL","NULL","76"
"4398","87","1/28/2004 10:24:00","42.1","27.7","1.9","-98789","0.1","NULL","NULL","NULL","68"
"4698","93","1/28/2004 10:32:00","33.2","24.3","0.2","-98789","0.1","NULL","NULL","NULL","58"
"4850","96","1/28/2004 10:38:00","41.2","35.5","0.3","-98789","0.1","NULL","NULL","NULL","58"
"4748","94","1/28/2004 10:44:00","33.8","26.9","0.4","-98789","0","NULL","NULL","NULL","60"
"4650","92","1/28/2004 10:55:00","32.5","26.6","0.4","-98789","0.1","NULL","NULL","NULL","62"
"4600","91","1/28/2004 11:01:00","47.5","34.5","2.6","-98789","0.1","NULL","NULL","NULL","62"
"4449","88","1/28/2004 11:08:00","42.8","33.8","2.5","-98789","0.3","NULL","NULL","NULL","60"
"4500","89","1/28/2004 11:14:00","33.2","26.8","5","-98789","0.1","NULL","NULL","NULL","78"
"4550","90","1/28/2004 11:19:00","46.3","35.8","0.6","-98789","0.1","NULL","NULL","NULL","68"
"4093","81","1/28/2004 11:30:00","33.4","29.4","1.1","-98789","0","NULL","NULL","NULL","60"
"4143","82","1/28/2004 11:35:00","36.7","27.9","4.7","-98789","0.1","NULL","NULL","NULL","70"
"4043","80","1/28/2004 11:46:00","15.9","24.9","0.3","-98789","-0.4","NULL","NULL","NULL","80"
"3539","70","1/28/2004 11:53:00","4.8","3.6","17.7","-98789","0.1","NULL","NULL","NULL","0"
"3489","69","1/28/2004 11:59:00","21.6","20.7","7.5","-98789","0.2","NULL","NULL","NULL","76"
"3994","79","1/28/2004 12:04:00","1","3.4","16","-98789","0.2","NULL","NULL","NULL","70"
"3438","68","1/28/2004 12:11:00","19.6","26.6","0.5","-98789","-0.1","NULL","NULL","NULL","72"
"3389","67","1/28/2004 12:16:00","28.7","29.9","0.4","-98789","-0.2","NULL","NULL","NULL","70"
"2979","59","1/28/2004 12:23:00","21.4","25.6","0.6","-98789","-0.9","NULL","NULL","NULL","70"
"2928","58","1/28/2004 12:28:00","38.4","34.3","0.4","-98789","0","NULL","NULL","NULL","72"
"53","2","1/28/2004 12:34:00","32.3","32.3","0.6","-98789","0.2","NULL","NULL","NULL","72"
"2877","57","1/28/2004 12:39:00","37.6","33.6","0.5","-98789","-0.3","NULL","NULL","NULL","78"
"2463","49","1/28/2004 12:45:00","28.7","30.2","0.5","-98789","-1.1","NULL","NULL","NULL","80"
"2414","48","1/28/2004 12:50:00","15.6","17.4","9.2","-98789","0.1","NULL","NULL","NULL","72"
"2361","47","1/28/2004 12:59:00","51.9","38.1","0.9","-98789","0.3","NULL","NULL","NULL","72"
"2309","46","1/28/2004 13:04:00","24.1","28.9","0.3","-98789","-0.5","NULL","NULL","NULL","78"
"1894","38","1/28/2004 13:12:00","34.6","32.4","0.2","-98789","0","NULL","NULL","NULL","92"
"1842","37","1/28/2004 13:18:00","53.5","37.7","0.3","-98789","0.1","NULL","NULL","NULL","78"
"1789","36","1/28/2004 13:24:00","12","10.1","13.2","-98789","0.2","NULL","NULL","NULL","70"
"1735","35","1/28/2004 13:30:00","23.4","27.6","0.4","-98789","0.4","NULL","NULL","NULL","88"
"1683","34","1/28/2004 13:35:00","28.5","31.5","0.5","-98789","0.1","NULL","NULL","NULL","70"
"2256","45","2/5/2004 1:35:00","44.2","36.4","0","-98789","-1.4","NULL","NULL","NULL","78"
"1949","39","2/5/2004 1:42:00","43.6","35.7","0.2","-98789","-1.3","NULL","NULL","NULL","80"
"1895","38","2/5/2004 1:49:00","38.8","33.2","0","-98789","-1.3","NULL","NULL","NULL","92"
"2310","46","2/5/2004 1:58:00","26.8","28.7","0","-98789","-1","NULL","NULL","NULL","78"
"2362","47","2/5/2004 2:02:00","52.4","36.3","2.1","-98789","0","NULL","NULL","NULL","70"
"1843","37","2/5/2004 2:07:00","56.7","36.1","0.4","-98789","0","NULL","NULL","NULL","76"
"257","6","2/10/2004 10:18:00","0.8","1.4","19.5","-98789","0","NULL","NULL","NULL","58"
"4749","94","2/10/2004 10:38:00","33.4","25.3","0.4","-98789","0","NULL","NULL","NULL","58"
"4699","93","2/10/2004 10:45:00","37.2","23.3","0","-98789","0","NULL","NULL","NULL","56"
"4651","92","2/10/2004 10:53:00","35.9","22.9","0.2","-98789","0","NULL","NULL","NULL","60"
"3590","71","2/10/2004 11:03:00","46.3","32.7","0.1","-98789","-1.4","NULL","NULL","NULL","80"
"3540","70","2/10/2004 11:18:00","0.4","0.4","21.5","-98789","-0.3","NULL","NULL","NULL","0"
"3029","60","2/10/2004 11:34:00","48.2","33.6","0.8","-98789","-1.6","NULL","NULL","NULL","80"
"4195","83","2/10/2004 11:43:00","54.2","36.3","0.3","-98789","-1.6","NULL","NULL","NULL","78"
"1222","25","2/10/2004 11:55:00","0.8","1","20.7","-98789","0","NULL","NULL","NULL","60"
"867","18","2/10/2004 12:03:00","0.1","0","21.8","-98789","0","NULL","NULL","NULL","62"
"2106","42","2/10/2004 12:12:00","5.6","4.1","18.7","-98789","-0.3","NULL","NULL","NULL","60"
"258","6","2/17/2004 10:11:00","1.4","2.8","17.1","-98789","0","NULL","NULL","NULL","60"
"4800","95","2/17/2004 10:16:00","40.4","24.1","0.8","-98789","0","NULL","NULL","NULL","68"
"314","7","2/17/2004 10:19:00","26.2","21.7","2.3","-98789","0","NULL","NULL","NULL","0"
"363","8","2/17/2004 10:23:00","16.6","22.4","0","-98789","-0.1","NULL","NULL","NULL","64"
"4350","86","2/17/2004 10:27:00","40.3","29.9","0","-98789","-2.3","NULL","NULL","NULL","80"
"416","9","2/17/2004 10:33:00","18.9","20.5","0.6","-98789","-0.1","NULL","NULL","NULL","62"
"468","10","2/17/2004 10:37:00","14.3","14.4","7.6","-98789","-0.2","NULL","NULL","NULL","68"
"3796","75","2/17/2004 10:41:00","0.3","1.3","17.7","-98789","-0.3","NULL","NULL","NULL","78"
"4300","85","2/17/2004 10:45:00","23.1","20.4","5.4","-98789","-0.1","NULL","NULL","NULL","70"
"516","11","2/17/2004 10:52:00","9.6","22.3","0.4","-98789","-0.3","NULL","NULL","NULL","76"
"3239","64","2/17/2004 11:41:00","21.3","25.5","0.7","-98789","-3.1","NULL","NULL","NULL","78"
"567","12","2/17/2004 11:44:00","0","13.7","2.3","-98789","0","NULL","NULL","NULL","80"
"3747","74","2/17/2004 11:49:00","14.2","17.5","4.8","-98789","-0.1","NULL","NULL","NULL","80"
"617","13","2/17/2004 11:54:00","0","6.4","9.8","-98789","-0.1","NULL","NULL","NULL","76"
"667","14","2/17/2004 11:58:00","1.6","17.2","0.3","-98789","-0.1","NULL","NULL","NULL","78"
"210","5","2/17/2004 12:02:00","19.9","25.3","0.3","-98789","-2.7","NULL","NULL","NULL","80"
"3186","63","2/17/2004 12:11:00","17.1","23.9","0.6","-98789","-2.9","NULL","NULL","NULL","80"
"716","15","2/17/2004 12:17:00","6.5","16.6","2.2","-98789","0","NULL","NULL","NULL","80"
"768","16","2/17/2004 12:21:00","6","6.3","12.6","-98789","0.1","NULL","NULL","NULL","80"
"2159","43","2/17/2004 12:26:00","0.6","0","19.2","-98789","-0.1","NULL","NULL","NULL","84"
"2675","53","2/17/2004 12:31:00","24.2","27.7","0.7","-98789","-2.9","NULL","NULL","NULL","74"
"817","17","2/17/2004 12:37:00","20.4","21.5","2.6","-98789","0","NULL","NULL","NULL","77"
"870","18","2/17/2004 12:41:00","0.2","0","19.5","-98789","0","NULL","NULL","NULL","78"
"1023","21","2/17/2004 12:45:00","30.8","28.4","1.5","-98789","-3.3","NULL","NULL","NULL","78"
"2109","42","2/17/2004 12:49:00","6.2","3.2","16.7","-98789","0","NULL","NULL","NULL","78"
"919","19","2/17/2004 12:55:00","13.1","24","0.6","-98789","0","NULL","NULL","NULL","78"
"973","20","2/17/2004 12:59:00","4.4","2.8","15.9","-98789","0.2","NULL","NULL","NULL","78"
"1123","23","2/17/2004 13:02:00","23.2","28","0.5","-98789","0.2","NULL","NULL","NULL","74"
"1074","22","2/17/2004 13:06:00","36.7","32.5","1.1","-98789","0","NULL","NULL","NULL","86"
"1224","25","2/17/2004 13:12:00","2.9","2.9","16","-98789","0.1","NULL","NULL","NULL","84"
"160","4","2/17/2004 13:17:00","39.3","30.1","0.9","-98789","-4.4","NULL","NULL","NULL","78"
"1322","27","2/17/2004 13:21:00","35.2","31.6","1","-98789","0.2","NULL","NULL","NULL","78"
"1377","28","2/17/2004 13:27:00","7.1","11.5","7.9","-98789","0.1","NULL","NULL","NULL","84"
"1477","30","2/17/2004 13:33:00","29","30.3","0.9","-98789","-2.2","NULL","NULL","NULL","78"
"1530","31","2/17/2004 13:37:00","7.3","20.3","0.4","-98789","0.1","NULL","NULL","NULL","80"
"1580","32","2/17/2004 13:41:00","32.2","27.9","3.2","-98789","0.1","NULL","NULL","NULL","80"
"1633","33","2/17/2004 13:45:00","36.9","33.5","0.4","-98789","-1.3","NULL","NULL","NULL","74"
"1426","29","2/17/2004 13:51:00","38.7","32.9","0.4","-98789","-1.8","NULL","NULL","NULL","82"
"1270","26","2/17/2004 13:56:00","43.6","32.6","0.3","-98789","-3.3","NULL","NULL","NULL","78"
"1173","24","2/17/2004 14:00:00","26.2","28","1.9","-98789","0.2","NULL","NULL","NULL","88"
"2057","41","2/17/2004 14:04:00","43.1","30.7","1.7","-98789","0","NULL","NULL","NULL","84"
"2006","40","2/17/2004 14:08:00","48.3","32.7","0.5","-98789","-2.6","NULL","NULL","NULL","80"
"1952","39","2/17/2004 14:13:00","42.7","35.9","0.1","-98789","-1","NULL","NULL","NULL","80"
"6","1","2/17/2004 14:19:00","48.7","35.9","0.4","-98789","-3.1","NULL","NULL","NULL","84"
"2209","44","2/17/2004 14:23:00","38.2","30.6","0.4","-98789","-2.8","NULL","NULL","NULL","86"
"2621","52","2/17/2004 14:26:00","10.5","20.9","0.7","-98789","0","NULL","NULL","NULL","78"
"2571","51","2/17/2004 14:30:00","34.1","30.6","1.5","-98789","0.1","NULL","NULL","NULL","82"
"2515","50","2/17/2004 14:34:00","57.2","39.2","0.8","-98789","-1.1","NULL","NULL","NULL","78"
"2259","45","2/17/2004 14:38:00","43.4","36.8","0.4","-98789","-1.2","NULL","NULL","NULL","80"
"2775","55","2/17/2004 14:46:00","42.1","34.1","0.7","-98789","-4.4","NULL","NULL","NULL","80"
