"index","Time (s)","Vibration (mm/s)","Temperature (Celsius)","Current (Amps)","Ambient Temp (Celsius)","Humidity (%)","Operating Hours","Load Level","Duty Cycle","Equipment Age (Years)","Failure Label"
"29","145","0.57254776081459","66.449412596067","4.1196626602924","24.080539974606","72.06096623618","2302.9410502132","1.1090749631255","2","5.7823109369827","Warning"
"30","150","3.060790647614","50.377626153725","5.893400574452","27.502426029112","60.906456264433","7586.1198853417","1.1332835992492","5","5.2189336857736","Warning"
"31","155","1.4294978236497","50.623301867287","5.1022559993193","20.533587488689","54.47297092087","4317.8780009928","0.59659304643735","4","5.7857582665301","Normal"
"32","160","1.2121245398368","56.006217043136","5.7742610931017","21.147717856314","74.367704824176","6537.1990600061","0.96450050538064","1","7.0877355451086","Normal"
"33","165","1.306235718682","51.64592710675","5.4840719696464","25.701272176353","50.93454076058","7626.5793197267","0.6585546534536","2","3.1227827855533","Normal"
"34","170","1.6221979282246","62.599239551132","5.2674039259158","28.592123886136","72.353803684144","2858.2785779931","1.1183934443144","1","1.1604097271547","Normal"
"35","175","2.9124074880401","55.58312773045","4.08722177783","16.430873653838","44.659105242595","7404.5942590074","0.69981889915888","2","3.6719302051613","Normal"
"36","180","0.84227178403277","68.613576567662","5.9800530768562","17.115829996842","51.246796142746","147.40737136284","0.88119873061912","1","6.0802374652204","Warning"
"37","185","4.5962172831878","65.833103747962","5.0730633060762","17.810363779695","78.40944804231","6842.7138451978","1.1796585900615","4","6.0264471065988","Warning"
"38","190","3.9891704214232","54.926753009257","4.8317253699001","19.356586763517","45.460518299529","2783.3239299913","1.1236781164604","5","7.4646186417251","Warning"
"39","195","1.1872342969295","51.977396090113","4.0476812504229","24.022659003262","68.017673515416","1450.9663590711","0.6000125164857","5","2.9036315870658","Normal"
"40","200","2.1166864052062","58.073821859514","5.906798135112","19.070087672492","67.859047437284","5706.6465347063","0.82906842806161","3","6.3330992661139","Normal"
"41","205","2.413507008444","63.493375296102","5.1751607711586","17.68936868146","40.375594162726","1912.920783719","1.1613755600673","4","4.7967111700586","Normal"
"42","210","2.9446113845039","60.521795927615","4.5615205434924","18.013045775581","63.434137080839","5217.6292364693","1.0045700332753","4","6.655564091925","Normal"
"43","215","4.186496101312","59.170599616237","4.3917912380563","25.478772090672","62.5812102554","2780.9582505612","0.91690234221652","5","1.2077462521998","Warning"
"44","220","3.1510176810349","57.971647800281","4.3755072137984","20.903082929678","45.805171274067","9046.0514410567","0.65436271706296","3","8.9524167842787","Warning"
"45","225","3.0864576804306","69.914124804236","4.8148251305463","19.059726848741","53.758006774702","9442.5377525328","0.50275886228954","3","7.4860053747756","Warning"
"46","230","0.93185237489197","68.730420114443","4.9857472435037","22.833463130766","57.051759292009","157.63077131256","0.82459398695793","5","1.3573645204446","Warning"
"47","235","1.5158899001485","51.071277099739","4.0670901402398","23.392844334011","77.621067099508","9931.9911997898","0.61032944824887","4","3.931555524197","Normal"
"48","240","2.0479607771343","52.105029126593","4.9485717759608","18.492486017252","68.560980458985","2445.3541426128","0.74796142895504","1","6.2010490652485","Normal"
"49","245","3.6192905420066","54.793366599632","5.6748820875987","21.741349660791","47.009790077386","9457.9768654934","1.0295722936134","3","5.2797209726209","Warning"
"50","250","4.7326145784551","69.740028469663","4.4566956891521","27.211376199888","75.79114399341","1990.6060188253","0.75311508455427","5","3.1025717442629","Warning"
"51","255","4.1318991030079","52.915353262917","5.054431669392","22.375414652946","62.269937405253","1744.423998748","1.0748750308711","4","3.3257125595677","Warning"
"52","260","1.4973274184763","67.177296529192","4.2245639721171","20.600608165141","60.274507667601","9508.9064044495","1.0004449568198","1","1.7673778980772","Warning"
"53","265","2.3723175312977","62.653104708711","5.4305407711609","27.502756959558","44.619101430792","2419.398707806","0.72789225824205","4","4.2975468175837","Normal"
"54","270","1.6030470205222","63.95749731398","5.7787061928494","17.158714844472","75.523738122851","2632.5223436307","1.1320978530218","4","2.4267247340086","Normal"
"55","275","1.6779781581709","52.086971630758","4.9765573409592","16.192734358627","54.589651110109","7512.4262649667","0.62896354550467","3","4.4585664598902","Normal"
"56","280","2.604472911075","55.277380509285","5.9519086216577","17.009047159391","41.144879683445","359.40239829589","1.0536238541141","1","6.1984394227655","Normal"
"57","285","4.7312761609043","63.735544407066","4.8879970317588","25.293568205367","45.710558801158","1687.3294259174","0.67792806179943","3","5.0079276819307","Warning"
"58","290","1.4995579035793","61.072347690662","4.7607368534366","26.754415120929","71.44041868282","3824.441534486","0.90753221462868","3","3.6097683943086","Normal"
"59","295","4.1580514371272","59.270384212601","5.2203477390654","22.833558931793","44.504267706128","2380.006842462","0.53040604139067","1","4.8128834410753","Warning"
"60","300","0.59784263513712","62.233272390974","5.0786902023114","21.61046373641","78.507593571827","3388.6355793323","0.76145382334538","1","6.1372046311201","Normal"
"61","305","1.3975591746106","51.054333402793","5.8449708809524","26.001769915402","52.427957213118","7738.8411166944","0.64398390411671","3","4.8986951854503","Normal"
"62","310","4.4092365959701","53.871462565063","4.8285411438467","23.809995710284","44.377682132293","8994.3319323714","0.60608293190992","5","7.5223954893149","Warning"
"63","315","3.5009743549479","57.783914799896","4.6328055958066","26.849283965172","43.188930257712","8343.5074899955","0.62430573037123","3","4.5262791639482","Warning"
"64","320","4.9179664401428","60.261240336342","5.5751173504649","28.264118936618","51.352612048274","6818.4591582285","0.97281959180714","3","9.7819689704374","Warning"
"65","325","3.2739772628575","55.65591451048","5.7885560213713","17.600814982124","72.185862937561","2298.2509642549","0.50466511965362","4","9.8106005631717","Warning"
"66","330","1.019560880217","53.226239354568","5.2040980568639","15.226878088904","67.191540470406","3413.7189901461","0.58387067892488","4","2.1998105726994","Normal"
"67","335","2.7585110946781","67.807895098037","5.3378636200962","29.064029632997","42.188019204816","6475.6047475864","0.66098644937479","1","7.3594205935516","Warning"
"68","340","2.2267685270477","63.470300870271","4.1670768831569","23.604053383533","74.467719969765","1076.8762418654","0.69404146885165","3","6.8328586309737","Normal"
"69","345","4.2185558559571","55.532523660614","5.9949915120141","17.535673893327","61.394640559519","7009.8283097938","0.68199538990177","2","3.1603897896265","Warning"
"70","350","1.5918907205226","58.077645646746","4.0817068358137","23.753255830343","54.859711144663","7055.8104916931","1.1379945718693","2","1.4539211766501","Normal"
"71","355","4.7449393714503","69.874265882248","4.5766809839828","20.738417252261","49.024330417628","3427.5510545448","0.58688140526786","2","6.8272857053197","Warning"
"72","360","1.8261039539835","54.099563974498","4.1622561895586","21.450356971354","48.226306344119","1606.5279770828","0.52802666802167","5","5.4555202043523","Normal"
"73","365","4.0485749242318","67.810564153988","4.2094486793124","20.440716790808","57.476002263673","4244.526637825","0.62859501203516","3","6.8327992292675","Warning"
"74","370","1.3629111127046","52.031846568051","4.7455793964156","17.739315903886","65.615240419935","8559.2269177777","0.67019346367764","2","4.6886878503024","Normal"
"75","375","2.8144679842343","61.449898334279","4.9007568674709","28.031251713472","57.324365929662","2836.9019456563","0.85910295666426","2","7.5706597420948","Normal"
"76","380","2.0487166144708","65.112101707609","4.1437497206239","18.736501832507","49.690908541482","4912.9324752664","1.1796960714379","2","2.2645729511013","Warning"
"77","385","0.83316163424212","67.96961380633","4.0848171704803","24.9505526832","62.120249562514","1993.9320936162","0.71020193784003","1","3.7996478494364","Warning"
"78","390","2.9991488521758","59.27432857795","4.6269176504162","25.760141009033","67.63590297461","9299.4032328877","0.52154739424452","1","2.798145954596","Normal"
"79","395","2.073187035899","64.80593565138","5.9602662077014","24.402701588127","79.834759815419","1289.1933142327","1.0597063079821","2","2.6889444515746","Normal"
"80","400","4.2813863167777","62.949108944718","4.0498370577645","17.953706489187","44.448188845275","9422.0345561165","0.6324729642586","1","9.0314347193905","Warning"
"81","405","4.4449077419898","63.038834479223","5.7904771850638","29.640128844837","59.019022556286","7776.0118934171","0.6539365314307","5","9.5554414325443","Warning"
"82","410","4.0921031796731","63.891110332996","4.3567269603496","20.604751510353","49.941088357535","5041.5769214073","0.52539346312117","3","3.934606974514","Warning"
"83","415","3.4834957602775","65.498205046694","5.9418373530873","17.619366430211","55.737631571599","2806.0559845606","0.80288348555909","5","5.5185453762232","Warning"
"84","420","0.80533528171947","65.274252773538","5.7353554436052","20.587580780968","79.823673314003","5182.8930553229","0.75549173385827","5","2.0439419049454","Warning"
"85","425","2.7859984041086","63.309055144578","4.7356592346559","27.111211343812","70.657683902418","6381.1046087043","0.89596385422625","5","1.4440822289559","Normal"
"86","430","4.3296629960655","63.951855695012","5.0465735689323","16.746707969741","79.929812784284","7152.4068678596","0.71603883097721","4","3.8430468347682","Warning"
"87","435","0.70203656638482","51.292762494749","4.0075900544245","16.661573126894","58.454150651861","488.6366137255","0.62486079719035","3","4.6043549896168","Normal"
"88","440","2.2482408662337","69.731184412346","4.1649877167225","15.4626452856","67.377528135671","6744.08688069","0.63419070499884","1","5.7975781262182","Warning"
"89","445","2.5926931292964","58.21596994974","5.9318621285889","24.425719926233","58.679473077639","8609.7700494517","0.76026260230715","5","6.149200508063","Normal"
"90","450","2.6181780283233","67.710426952857","4.3999093625848","19.595303327302","77.545897327778","9792.5667179372","0.62549823158539","1","9.4330694782211","Warning"
"91","455","0.68440074006081","53.141122258808","4.3015338143512","22.58224404462","63.883524069136","4238.4600932253","1.0112528458199","1","4.7453097261344","Normal"
"92","460","1.6926225105458","63.751415060587","4.1823121132874","23.111124241968","75.699860594399","82.26105804182","0.87698283521084","2","3.4285882108655","Normal"
"93","465","1.1009749130313","69.60395418664","4.2502902095584","18.275606882197","78.078504845802","1603.1027830493","0.60396846622871","1","7.4664932618045","Warning"
"94","470","3.4975720667429","54.996986309366","5.8491201692165","16.765262675494","63.16773667079","2847.0267917188","1.1892033066643","1","5.488880053572","Warning"
"95","475","1.1388708640628","55.419910673641","4.833736034201","27.8424417816","55.578435499975","5628.4802067522","0.54566098556704","1","6.3627223459481","Normal"
"96","480","3.9453786653202","66.088887059895","4.4731417074568","22.471902657973","41.179369423759","2177.092353647","0.54703107258422","2","2.0846071454648","Warning"
"97","485","1.5567549075992","66.382623041935","5.5156035465257","16.772107689527","57.179096918464","7918.4966554165","0.59322115713756","1","1.3526884776561","Warning"
"98","490","4.1421752190731","52.80737602504","5.5596144014764","22.762877018416","75.617343952883","7525.2572796519","1.0045491494092","2","7.8084737107197","Warning"
"99","495","1.9087220904372","54.058777189898","5.5161381462057","25.267233753733","41.037616356564","9259.5082616361","1.068956485645","5","4.1989341962471","Normal"
"100","500","1.6677972149844","68.075451555328","5.714003336188","23.896201689713","72.301752110356","1620.8255401052","1.0290247493166","1","4.2830773021666","Warning"
"101","505","1.8028337571142","51.064803210577","5.1256830290346","24.622604239418","60.922175533445","3261.4712850287","0.54692368938253","2","8.5484182185092","Normal"
"102","510","2.5060278056916","57.40271161786","4.8485231826838","23.179267669457","65.908185936416","2775.5905253499","1.0009838668121","5","8.8474897979698","Normal"
"103","515","1.6395243900628","51.354466947144","5.9263492866884","29.634238595307","69.765483043322","3687.5401314016","0.64405127961704","1","8.3878545841594","Normal"
"104","520","2.5266278029766","68.662713082737","4.2007055956167","16.187006824953","67.689062678945","8120.5642327637","0.77559671627173","3","7.8216768405691","Warning"
"105","525","0.93467011573616","59.200392857843","4.884481393219","25.159250336495","59.316271303328","5883.1818381982","0.83853448016571","5","1.8545288771135","Normal"
"106","530","1.3940484381203","60.41183532672","4.8382511283527","25.945146742854","58.583693635288","4866.2984914579","0.56059314882366","1","1.3458620988588","Normal"
"107","535","1.326568793508","69.05863865879","4.765695056656","24.745490505657","66.38814646338","7187.7756782969","0.66778562081304","4","9.6595449292738","Warning"
"108","540","0.55228929540886","56.126202848486","4.1071503436906","17.996798028048","58.085010132806","1842.5861296944","0.75090385761738","4","2.444716288804","Normal"
"109","545","3.2560355673501","60.648653446953","5.5369625006384","18.133970165167","79.240999837254","3304.8374391226","0.91582084015188","1","1.5047393814226","Warning"
"110","550","3.1532323298423","53.280326888854","4.4149873161283","28.388562148967","73.021681678603","5174.1069306431","0.74633359114957","2","1.8408424214492","Warning"
"111","555","0.68061106536818","56.14456283323","5.1744299588105","27.504406082263","75.534682866381","2854.4268560132","1.1296763922811","3","1.6416817026076","Normal"
"112","560","3.3495828242208","68.220655543136","5.9958483351218","27.106259840308","60.093213189591","2749.9098873539","0.68050471247313","1","2.7571549459784","Warning"
"113","565","2.2058633868884","61.892105206291","5.8189617553152","21.467556125253","72.041457644845","3211.8146283364","0.82826624143024","3","4.2990247647584","Normal"
"114","570","4.272151834041","61.914493546036","4.3222418954255","28.389906664406","77.852567666072","5254.4786158399","0.66965940878917","1","1.1686597624568","Warning"
"115","575","2.1711202342788","69.090302323926","5.2685728579326","27.825304688356","58.403650112213","863.34339412682","1.1070225517287","4","9.1367280023933","Warning"
"116","580","4.7034594952034","67.106691548084","4.0066731267345","20.486692175806","79.699356201918","240.0199724232","0.55457464533579","5","5.6241796684961","Warning"
"117","585","3.801491893955","58.150462910253","5.7924645137923","16.795454245714","43.557089157332","7008.4146542702","0.83526831649736","4","6.8299203555765","Warning"
"118","590","4.797119134499","52.529975498682","5.4472248838992","25.628873665299","71.728424391364","816.98153559286","0.7131835230455","5","6.5060184056773","Warning"
"119","595","1.7677608999992","52.781469116933","5.5433406228263","21.301703867189","69.893233610508","518.87016891368","1.1684054006434","3","3.0506060248124","Normal"
"120","600","1.8143325566377","69.464718575874","4.7726950480744","28.846019551637","46.326786882915","9973.1794130154","0.62326505568531","3","6.8991636725412","Warning"
"121","605","0.50231694819268","58.941933210226","4.4721794123494","15.647720566171","49.879852652376","2567.6008562353","0.96875899745891","2","9.9803653844446","Normal"
"122","610","0.71523631302101","68.360503783964","4.3085550127345","29.347256730608","62.770706127451","6657.4362966464","0.51280245783336","3","5.6560713652871","Warning"
"123","615","0.94244469266526","62.387505608125","4.9569352894158","29.62038157936","47.329392897782","9765.4159980158","1.1434950933742","4","2.9141868087556","Normal"
"124","620","4.3223569782258","58.849382142365","4.9312592212867","15.856348241641","66.921413739759","4845.560314015","1.0806343270876","4","9.485709397551","Warning"
"125","625","4.5009648036195","64.606314612173","5.9815155775324","22.221269356244","59.891517015282","6960.8750602793","1.1758670317078","2","8.6749377927924","Warning"
"126","630","2.4300880817441","65.724584224251","4.7820609251789","25.143978628625","55.738968275216","8910.1212053649","0.64471708365927","4","4.7259873153159","Warning"
"127","635","3.1834419081952","62.129274873094","5.9020955486827","20.187926063713","42.625481499194","6867.5010433111","1.1114072321396","5","5.6216176567838","Warning"
"128","640","4.8445190240151","68.176277111377","5.168928248276","26.071907348697","50.998852745067","3672.3024281584","1.1893782871145","2","4.1695382453507","Warning"
"129","645","2.5124373750815","50.227989313472","5.2097148192494","19.753745576314","54.181637961185","4226.8716103575","1.0468218818799","4","1.8987351527863","Normal"
"130","650","1.7841198303689","54.697932012556","4.4536730319293","26.451485017965","66.03247272287","2814.8851035289","1.0529384440816","2","2.5224273317064","Normal"
"131","655","3.3202884169081","61.171127061474","4.7926560784515","24.090737955679","45.429881439678","9382.1805400259","0.64664058841574","1","5.043565253167","Warning"
"132","660","0.62534311931879","68.018181925048","4.9746630093572","15.60211031314","69.650794786768","9489.1766640796","1.0658272210259","4","6.9707519948021","Warning"
"133","665","3.9181798751106","51.127538545582","5.2064522300897","23.970289547053","73.812359581363","4306.9541650495","0.56021315190497","5","7.7499284786191","Warning"
"134","670","1.0494726165536","61.158603796881","5.2325502176797","29.012445106861","65.953869328381","6145.7651230369","0.68670870364726","1","8.6263798558104","Normal"
"135","675","2.2173273541129","69.566783992374","4.3399774452537","15.584057600724","51.583428927009","2103.9762075905","0.62525329273012","4","1.2319305625554","Warning"
"136","680","1.2476598510194","59.396613311804","4.8472002131561","17.530380711198","73.581449967393","8264.5627041474","0.5001578701979","3","7.6486735232292","Normal"
"137","685","3.1081899800386","50.296253270077","5.239176040913","21.115087760738","61.553430451076","8411.4765018987","1.1926155001148","1","7.8582809923102","Warning"
"138","690","4.2480899159519","60.248668365253","4.7162584723281","16.780413277017","48.160457469031","9851.8968858457","0.80444712173294","2","4.1645741967133","Warning"
"139","695","3.0167267593173","67.428449123198","5.6740363376399","29.935209551838","59.825990287813","255.71335562023","0.80646836462479","1","2.4134216553427","Warning"
"140","700","2.5954130469975","55.852646962845","4.9458983326149","17.363173715544","42.390898161877","1217.2587017484","0.59776889161506","3","6.5627761723954","Normal"
"141","705","1.1534264283873","69.154334253402","5.0074964945365","26.457647546077","41.720056685224","604.89977289799","0.56758066187505","4","7.1997317920138","Warning"
"142","710","1.8046605098705","67.431526948048","5.8414157582282","28.23665492261","52.130865933719","9851.2158599821","0.80594776370959","5","7.1992793517203","Warning"
"143","715","0.51689829367304","65.060753737946","5.7868889952572","23.649107980002","43.02904180185","7337.9338081205","0.98012600808275","4","3.281261604962","Warning"
"144","720","2.2872248470811","67.084689981761","4.0679920790376","25.376643529405","66.945733309721","5860.4294730719","0.77930556885287","1","2.8129428808268","Warning"
"145","725","0.69132418380622","50.555377435273","4.395122209654","22.150207106634","56.19453161625","4516.3546838906","1.1030244758665","1","9.2255419138607","Normal"
"146","730","4.0174795850289","52.699665439128","4.5999801533953","24.637814789012","73.036874585757","9208.7279816689","0.8092869483112","4","9.1470419366516","Warning"
"147","735","3.5120363129788","60.803288434579","5.1352854303126","25.778896418605","53.296045936181","9615.6897965698","1.1810048503529","5","6.0902617680101","Warning"
"148","740","4.2919835059445","66.986193693753","4.9285537089349","25.586471871694","55.727715290222","3647.7103328666","0.69136650059559","3","7.0720573093116","Warning"
"149","745","3.314665963476","59.633294659145","5.7253394055696","22.70609893156","42.88705932195","8598.6292846778","0.76752988462553","1","3.9862148033538","Warning"
"150","750","4.9366444369422","60.742449726244","4.1505393826739","24.009103182195","50.748208706067","9416.9436410572","0.78704369431887","3","4.539605754462","Warning"
"151","755","3.0825884329447","63.91111146135","5.3851445165591","29.211951160372","75.706639710906","5246.4589577901","0.60655702485199","1","2.7999184091213","Warning"
"152","760","3.4764986933614","63.059743899957","5.3177313344241","17.106154220692","55.93835461698","7987.6815253574","0.53683841858549","1","8.1042162678314","Warning"
"153","765","1.915942893143","53.4960412359","4.3189575809581","23.669153804757","72.182212336126","3027.3127963531","0.66710587832425","2","9.134884247351","Normal"
"154","770","3.1303436067019","65.185945934635","5.9086246630336","29.287688273858","58.734071593225","3741.2679325677","0.82288520949033","4","9.7149132405892","Warning"
"155","775","3.7403288088278","64.726135647245","5.6694938759132","22.704980559783","57.141157656268","421.12798679655","1.104954070975","4","9.7888518743234","Warning"
"156","780","2.0137317690109","56.640869736986","4.351048851832","19.904010311801","77.528321658924","2911.8118021478","0.61853510901233","3","6.421688366232","Normal"
"157","785","3.9044829909512","63.807751012257","5.0688184179349","21.17997099443","44.640673016478","3035.4995269434","0.7251487898127","5","2.4054402919111","Warning"
"158","790","3.4815040597502","59.583100971159","5.0779624416398","17.483235322106","71.901481941523","2529.892448275","0.72198459706058","3","4.2795968228953","Warning"
"159","795","4.1851521651795","65.769693324584","4.4871766522066","21.496333638975","75.541704942105","9999.0091535964","0.67706570340829","5","8.623468450099","Warning"
"160","800","4.5780723558799","56.131544471156","5.6201147363579","24.966324375026","50.289870717327","6457.4772532287","1.0254675375864","5","4.8893498931554","Warning"
"161","805","4.5313606923501","59.463255609703","4.5707846303573","23.01203580343","78.77154245066","4071.4526409649","0.70882870080844","3","5.3769061163493","Warning"
"162","810","0.87701796220338","54.910715049334","5.5760528403943","25.431600357631","44.795034772554","1428.0698569883","0.64147107926077","2","5.3025037894858","Normal"
"163","815","1.747161696726","65.585990499598","5.9541851953392","23.753626920276","72.005988387357","4575.8183200767","0.55309226510863","5","3.628465757523","Warning"
"164","820","3.6060375159017","50.136947719038","4.592729785663","16.575114053962","60.52743181978","5778.1865473701","1.1611410802494","2","9.4271602088978","Warning"
"165","825","4.8063958109534","51.780818545692","4.7865669185181","16.162217678614","74.894836936597","9717.3972711378","0.54812637518484","3","5.7905450976634","Warning"
"166","830","0.51285240279727","58.497473915895","5.6011385664225","24.919826937468","64.20494602675","8285.6475969044","0.63016887627614","1","8.6610055972317","Normal"
"167","835","1.0169124500751","54.849910306413","5.008616476966","27.158228040319","73.749471860821","6366.2999935861","0.97868917161029","2","8.421173819442","Normal"
"168","840","2.023673793563","53.641788135562","5.4095559448838","15.389159272449","41.379451285225","3104.0262311087","1.0273385510013","1","5.5983353721056","Normal"
"169","845","0.62897950223501","68.199845875706","5.3465570769809","20.402858588257","63.566929943985","7508.4679387822","0.60441767209352","4","6.9190254508332","Warning"
"170","850","1.9263427140401","57.187550098767","4.6176985774709","24.82774930196","65.347854964077","8736.7613761793","1.0304703425415","5","2.5264271505677","Normal"
"171","855","1.4327317329392","66.086689642958","5.1350458229883","22.864863103355","49.667760587584","273.43159164675","1.0249781517008","1","7.0762140029911","Warning"
"172","860","3.4969094386576","52.355305042926","4.9324812840755","19.132508855909","74.575999269919","1560.6374262714","0.59706902321479","5","5.1188823002951","Warning"
"173","865","1.7696218843071","65.376365166446","5.6219340626262","16.36765360092","61.545584877607","595.17986935165","1.0085674796763","3","4.0471958192866","Warning"
"174","870","1.5396267292724","68.942469833894","4.5176027070719","29.194873193346","59.167596191765","3340.7754767564","0.78287503371433","2","2.3829794449932","Warning"
"175","875","0.66057108132236","54.149670210534","4.6932164556233","24.112125417575","74.985613189227","9493.3867868198","0.89782565383321","4","6.5398783732827","Normal"
"176","880","2.880601578458","55.116629015989","4.0292730527997","22.914238307388","42.991463086113","8934.83018927","1.1668414480632","4","8.3872060783596","Normal"
"177","885","0.53702117284572","67.42447907419","4.5694637953264","27.726520482647","71.783148576664","4700.6060127755","0.59729675053594","2","8.9800250753859","Warning"
"178","890","1.9836762093627","53.384394011541","4.9679054653962","27.545821965126","79.339408081551","3946.7380856426","0.71820269237729","2","2.2410661489293","Normal"
"179","895","3.2987325221447","58.568928301998","5.6364096996165","16.772771882246","48.666115111871","647.62266814942","1.0781571558599","4","2.1916552687915","Warning"
"180","900","3.4850691009087","57.627004044906","4.0399332766676","26.217068573071","68.681799412407","9412.6765935267","0.59051327676005","4","7.3068851458118","Warning"
"181","905","1.7362568938498","54.638168611443","5.886618010765","29.254870178222","61.813473028672","3057.6064656329","0.98536729550574","5","5.1478417020744","Normal"
"182","910","4.1118559746927","67.60844668792","5.7737990329124","22.342166376528","73.834978043689","8664.6203740802","1.0012786440305","1","7.6034659729767","Warning"
"183","915","4.280063345902","55.064614114145","5.4858027063066","26.02498450052","55.237075274107","5366.0651536145","0.8154292973296","1","3.6784935104782","Warning"
"184","920","1.9519166995344","62.083448455003","5.0702402353089","23.053894263356","49.554107184012","509.2071106481","1.0922919202584","2","8.2112560727221","Normal"
"185","925","3.1896571731636","51.676672076302","4.3022693177211","26.285580848457","65.061195601821","9862.265917196","0.76592407135097","1","2.0942536165754","Warning"
"186","930","0.90922260983053","55.124808043594","4.0007702294374","15.094445137794","55.406817644001","6752.6224100541","1.110914505971","3","3.4508665517976","Normal"
"187","935","0.77664178761634","63.129342386553","4.1408122944977","24.721262020062","46.752701945121","9844.925788635","1.1121349609146","5","8.7169854237847","Normal"
"188","940","3.2094081182162","53.534380316941","5.186161565383","19.604350809596","77.323613262424","6773.6135643447","0.93789958451862","4","2.5674492694096","Warning"
"189","945","1.0480156855476","53.430037336359","5.197393294904","26.166336839468","79.113210678366","1319.4442492878","1.1752771701013","1","5.110344075269","Normal"
