Date,Category,Sales
2023-07-04,Pontiac,634
2024-05-02,Mercury,310
2023-09-19,Chevrolet,453
2024-01-29,GMC,631
2023-11-17,GMC,747
2023-10-27,Chevrolet,659
2023-12-19,Audi,920
2023-07-26,Mitsubishi,360
2024-02-19,Toyota,965
2024-05-04,Volkswagen,381
2024-03-01,Mazda,565
2023-10-01,Mercury,171
2023-08-30,Jaguar,61
2024-02-22,Chevrolet,477
2023-10-04,Jeep,614
2023-06-16,Ford,92
2023-12-19,Mercedes-Benz,315
2024-02-03,Ford,782
2023-10-13,Lotus,688
2024-04-03,Volkswagen,135
2024-05-16,Mercedes-Benz,165
2024-01-03,BMW,255
2024-01-15,Suzuki,836
2023-07-21,Infiniti,50
2024-04-23,Chevrolet,294
2023-08-21,Mazda,757
2023-07-01,Mercury,393
2024-03-04,Volvo,269
2023-12-04,Suzuki,456
2024-04-27,Volvo,629
2023-06-23,Dodge,591
2023-09-07,Jaguar,731
2024-02-21,Dodge,636
2023-06-16,Mercedes-Benz,1000
2023-09-01,Acura,122
2023-10-22,Nissan,808
2024-03-15,GMC,155
2024-04-30,Isuzu,436
2023-08-01,Toyota,666
2023-12-09,Chevrolet,946
2023-08-16,Mercedes-Benz,715
2024-05-05,GMC,221
2024-03-19,Lincoln,277
2023-10-27,Toyota,911
2023-08-27,Buick,185
2024-02-11,Ford,328
2024-05-23,Dodge,392
2024-05-20,Suzuki,784
2024-02-18,Chrysler,189
2023-10-06,Subaru,79
2024-05-07,Maybach,441
2023-08-13,GMC,545
2023-10-27,Daihatsu,284
2023-11-01,Mitsubishi,370
2023-10-13,Ram,994
2023-08-25,Chevrolet,509
2024-05-27,Mitsubishi,833
2023-12-18,BMW,268
2023-12-13,Mercury,219
2023-10-26,Dodge,721
2023-09-27,GMC,718
2023-07-18,Dodge,315
2024-05-31,Mazda,825
2024-05-22,Isuzu,935
2024-04-07,Mercury,814
2023-11-13,Lexus,217
2023-07-12,Nissan,894
2024-02-27,Mercury,915
2023-07-14,Hummer,119
2024-05-27,Chevrolet,961
2024-04-25,Saturn,653
2024-03-30,GMC,953
2023-08-15,Mitsubishi,992
2024-05-19,Pontiac,569
2023-09-14,Mazda,230
2023-12-21,Ford,673
2024-02-03,Saab,167
2024-02-07,Saab,819
2023-08-08,Hyundai,255
2023-10-13,GMC,188
2024-04-09,GMC,476
2023-10-19,Mercury,225
2023-08-15,Lincoln,757
2023-11-04,Chevrolet,539
2024-04-05,Infiniti,644
2023-10-11,Mazda,516
2023-12-05,Oldsmobile,282
2023-10-21,Cadillac,198
2024-04-28,Mitsubishi,789
2023-10-13,Cadillac,420
2023-06-10,GMC,651
2023-11-05,Isuzu,555
2023-12-23,Kia,401
2023-11-29,Lexus,52
2023-12-17,Audi,310
2024-02-07,Dodge,595
2024-03-02,Volkswagen,148
2024-04-01,GMC,938
2023-12-27,GMC,140
2023-08-22,Mercedes-Benz,837
2024-05-02,Volvo,487
2024-01-05,Cadillac,944
2024-04-30,Volvo,659
2024-02-25,Ford,675
2023-11-25,Mazda,533
2023-08-07,Mazda,891
2023-08-24,Pontiac,230
2023-09-28,Jaguar,292
2024-05-22,BMW,129
2023-12-30,Toyota,116
2024-04-06,Lincoln,296
2023-10-15,Mercedes-Benz,382
2023-06-28,Porsche,333
2024-02-22,Chevrolet,465
2024-03-04,Dodge,816
2024-03-21,Ford,882
2023-09-17,Toyota,903
2024-04-05,Honda,472
2024-01-31,BMW,510
2023-08-18,Mercury,404
2023-12-26,Ford,437
2023-11-26,Land Rover,567
2024-01-31,Dodge,357
2023-07-28,Nissan,130
2023-09-23,Lotus,739
2024-02-24,Ford,795
2023-08-28,Toyota,960
2024-03-29,Mercury,400
2024-01-23,Volkswagen,180
2023-07-02,GMC,673
2023-09-10,Buick,483
2024-05-22,Porsche,711
2024-02-27,Hyundai,139
2023-12-30,Mercedes-Benz,561
2024-02-21,Hyundai,715
2023-08-02,Isuzu,340
2024-04-17,Mitsubishi,638
2023-12-02,Lincoln,747
2023-12-14,Toyota,335
2024-04-01,Porsche,932
2024-03-15,Lamborghini,659
2023-10-29,Volkswagen,70
2024-01-01,Mercedes-Benz,718
2024-04-18,GMC,111
2023-09-10,Cadillac,582
2023-07-28,Chevrolet,429
2024-05-04,Mercury,594
2024-01-25,Cadillac,630
2024-01-02,Maserati,518
2023-07-02,Jeep,413
2023-12-21,Suzuki,289
2023-09-11,Eagle,148
2024-03-06,Pontiac,770
2023-09-14,Maserati,343
2023-06-22,Chevrolet,122
2023-10-08,Mitsubishi,666
2024-01-17,Ford,308
2024-01-18,Ford,585
2024-01-04,Audi,900
2023-09-16,Audi,56
2023-11-10,Nissan,482
2023-11-09,Toyota,540
2024-01-26,Hyundai,802
2023-09-22,Mercedes-Benz,242
2024-01-28,Plymouth,754
2024-03-09,Nissan,508
2024-04-25,Honda,686
2023-12-13,Hyundai,258
2023-12-30,Mazda,716
2024-03-04,MINI,867
2024-03-12,BMW,561
2023-08-10,Hummer,108
2024-03-11,Audi,724
2023-12-27,Mercedes-Benz,902
2024-04-20,Suzuki,748
2024-02-07,BMW,408
2024-04-27,Toyota,156
2023-08-05,Pontiac,560
2023-09-23,Dodge,135
2024-01-20,Ford,472
2024-05-15,Pontiac,72
2024-04-29,Hyundai,105
2024-01-28,Ford,91
2023-09-16,Mercedes-Benz,739
2024-05-30,Chevrolet,424
2024-02-15,Suzuki,993
2024-02-24,Pontiac,344
2023-07-15,Infiniti,51
2024-01-02,Volkswagen,181
2024-03-01,Honda,770
2023-07-16,MINI,956
2023-10-23,Volkswagen,572
2023-09-16,Ferrari,302
2023-10-02,Plymouth,955
2023-06-11,Suzuki,144
2023-12-28,Mercedes-Benz,97
2024-03-02,Oldsmobile,268
2023-10-02,Chevrolet,449
2024-06-06,Mitsubishi,612
2023-06-10,Audi,50
2023-08-17,Mitsubishi,515
2024-05-17,BMW,652
2023-08-17,Jaguar,423
2024-02-01,Mazda,692
2023-07-17,Mercedes-Benz,491
2023-07-14,Mercedes-Benz,384
2023-11-07,Mercury,670
2023-11-04,Chrysler,550
2023-06-13,Lexus,710
2024-01-02,Ford,870
2023-06-18,Suzuki,348
2024-04-16,Chevrolet,977
2023-12-17,Ford,492
2023-09-10,Mercedes-Benz,863
2024-01-17,BMW,689
2024-04-11,Chrysler,577
2023-07-05,Ford,585
2024-04-05,Pontiac,599
2024-04-06,Volvo,330
2024-03-07,Mazda,268
2024-06-08,Suzuki,293
2024-03-27,Honda,623
2023-08-17,BMW,83
2024-04-15,GMC,732
2024-02-06,Dodge,771
2023-12-05,Pontiac,676
2023-07-13,Land Rover,289
2023-08-18,Infiniti,298
2024-05-28,Infiniti,162
2024-05-14,Mazda,945
2023-10-09,Pontiac,845
2023-07-14,Land Rover,596
2023-08-07,Ford,185
2024-03-11,Jaguar,188
2024-01-12,BMW,342
2023-12-01,Land Rover,122
2023-07-26,Mercury,774
2023-12-12,Chevrolet,301
2023-09-26,Porsche,716
2023-06-20,Buick,586
2023-08-25,GMC,926
2023-12-21,Isuzu,512
2023-08-06,Suzuki,498
2023-11-14,Toyota,607
2024-05-15,Ford,516
2023-06-30,Ferrari,804
2024-04-29,Acura,215
2024-03-22,GMC,248
2024-05-28,Audi,339
2023-11-30,Chevrolet,975
2024-01-23,Acura,905
2023-09-06,Buick,957
2023-06-20,Saab,712
2024-03-12,Mercury,874
2023-07-08,Volkswagen,110
2024-03-30,Chrysler,743
2024-01-13,Audi,500
2023-08-11,Suzuki,257
2023-10-14,Chevrolet,914
2023-06-22,Kia,851
2024-04-24,Nissan,122
2024-04-26,Ford,460
2023-07-10,Chevrolet,740
2023-10-14,Suzuki,458
2024-01-24,Toyota,431
2024-02-29,Subaru,531
2023-12-05,Kia,73
2023-10-14,Ford,465
2023-12-19,Cadillac,165
2024-03-29,Mazda,987
2023-09-20,Mitsubishi,90
2024-03-25,Ford,844
2023-09-14,Toyota,545
2023-07-05,Toyota,781
2023-09-11,Ford,992
2023-12-11,Hyundai,289
2023-07-01,Hummer,237
2023-10-11,GMC,999
2023-08-25,Toyota,872
2023-08-18,Suzuki,443
2023-12-02,Nissan,755
2024-02-03,Audi,381
2024-02-22,Subaru,78
2023-11-11,Nissan,676
2023-12-18,Mercedes-Benz,362
2024-04-04,Jaguar,94
2023-09-19,Audi,510
2023-07-07,Mazda,685
2023-07-28,Toyota,917
2023-11-06,Ford,996
2024-04-09,Ferrari,135
2023-06-08,Scion,134
2024-06-01,Mercedes-Benz,393
2024-03-01,Chrysler,276
2023-06-15,Honda,778
2023-12-21,Jeep,638
2023-08-01,Chevrolet,962
2024-03-16,Chevrolet,319
2023-08-26,Lexus,471
2023-06-30,Infiniti,712
2023-09-29,Pontiac,290
2024-03-16,Toyota,67
2023-12-01,Chrysler,655
2024-02-16,Mazda,833
2024-03-31,Subaru,499
2024-04-22,Mercedes-Benz,578
2023-10-17,Mitsubishi,267
2023-10-21,Honda,424
2023-08-20,Volvo,118
2023-08-03,Pontiac,221
2024-02-12,Chevrolet,813
2023-06-28,Dodge,507
2024-05-04,Volkswagen,816
2023-08-15,Acura,763
2023-10-12,Subaru,751
2024-01-04,Pontiac,301
2023-09-15,Ford,528
2023-07-20,Isuzu,62
2024-02-29,Chevrolet,146
2023-07-04,Audi,935
2023-09-11,Ford,125
2023-10-27,Toyota,253
2023-08-01,Ford,920
2024-04-04,GMC,744
2024-01-02,Pontiac,750
2024-03-12,Nissan,261
2023-07-15,Saab,913
2023-11-08,Mercedes-Benz,646
2023-12-19,Lincoln,96
2024-01-04,Mitsubishi,704
2023-10-28,Nissan,834
2024-04-09,Mazda,229
2023-08-09,Toyota,107
2024-05-19,Subaru,842
2024-06-01,Lexus,79
2024-05-04,Isuzu,262
2023-10-25,Buick,804
2024-06-01,Mazda,704
2024-01-06,Geo,110
2023-08-09,Pontiac,879
2023-08-25,Chevrolet,617
2023-12-24,Volvo,562
2023-11-06,Hyundai,74
2023-10-24,Ford,513
2023-12-16,Suzuki,293
2023-08-23,Honda,735
2024-05-11,Chevrolet,695
2024-04-20,BMW,741
2023-10-13,Jeep,837
2023-09-17,Ford,493
2023-12-01,Chevrolet,888
2023-11-05,Toyota,172
2023-12-26,Isuzu,117
2024-04-28,BMW,688
2023-10-25,Dodge,939
2024-01-23,Volvo,996
2023-10-24,Honda,845
2023-07-19,Ford,953
2024-01-14,BMW,984
2023-09-26,Lincoln,192
2023-11-14,Ford,797
2024-05-30,Mercedes-Benz,398
2024-03-19,Audi,792
2023-08-02,Maserati,884
2023-11-04,Lincoln,822
2024-05-17,Saab,788
2023-11-26,Volkswagen,77
2023-09-04,Chevrolet,78
2023-08-12,Cadillac,827
2023-12-11,GMC,421
2024-05-19,Pontiac,893
2023-10-09,Ford,440
2023-11-28,Plymouth,288
2023-12-16,Geo,93
2023-07-17,Mercury,753
2023-12-07,Toyota,159
2024-06-04,GMC,989
2024-01-12,Mercury,623
2024-05-11,Hyundai,448
2023-12-13,Lincoln,996
2023-08-30,Pontiac,387
2023-07-31,Hyundai,763
2023-06-23,Hyundai,289
2024-03-17,Chevrolet,206
2024-02-20,Mercedes-Benz,258
2024-04-11,Toyota,84
2023-09-29,Jeep,372
2023-08-26,Mazda,544
2023-10-10,Dodge,744
2023-07-07,Isuzu,188
2023-09-27,Audi,329
2023-06-26,Porsche,835
2024-03-14,Lexus,939
2023-11-18,GMC,708
2024-01-09,Pontiac,710
2023-12-03,Chevrolet,806
2024-03-09,Saturn,136
2024-01-09,Rambler,880
2023-09-28,Mazda,255
2023-07-05,Jaguar,542
2023-08-26,Plymouth,835
2024-06-08,BMW,300
2024-04-12,Ford,382
2023-06-11,Chevrolet,280
2023-07-05,Pontiac,705
2023-07-29,Subaru,492
2023-07-27,Chevrolet,166
2023-11-09,Dodge,257
2024-02-12,Toyota,731
2023-10-29,Peugeot,817
2024-05-22,Ford,624
2023-12-22,Ford,966
2024-04-03,Ford,914
2023-12-20,Chevrolet,272
2023-09-19,Audi,231
2024-02-03,Lexus,183
2023-10-19,Mazda,571
2024-01-29,Ford,938
2024-01-16,Buick,475
2024-01-23,Buick,826
2023-11-08,Ford,364
2023-09-29,Lincoln,542
2023-07-31,Buick,587
2023-08-09,GMC,780
2023-12-15,Saab,596
2023-12-03,Land Rover,356
2023-11-12,Suzuki,440
2023-06-11,Lamborghini,123
2023-10-23,GMC,841
2024-01-29,Chevrolet,116
2023-11-14,Pontiac,276
2024-01-29,Infiniti,407
2023-11-15,Mazda,560
2023-11-08,Chevrolet,929
2024-01-05,Toyota,760
2023-11-20,Toyota,267
2023-08-15,Scion,727
2024-04-12,Mercury,345
2024-02-03,Ford,553
2023-11-28,Volvo,847
2023-09-15,Pontiac,706
2024-02-09,Mitsubishi,185
2023-06-27,Ford,736
2023-11-20,Mazda,933
2024-01-22,Mercedes-Benz,590
2024-04-20,Ford,630
2023-10-05,Infiniti,402
2023-10-24,Saab,813
2023-11-12,Kia,563
2023-08-10,Ford,966
2024-03-01,Mercedes-Benz,710
2023-07-26,Honda,554
2023-08-01,GMC,596
2023-08-22,Mazda,764
2024-03-12,Subaru,886
2023-09-29,Dodge,866
2024-04-01,Chevrolet,577
2023-10-05,Oldsmobile,177
2023-08-29,Audi,544
2023-10-17,Chevrolet,464
2024-01-16,Mercury,726
2023-10-07,GMC,280
2023-09-09,BMW,877
2024-04-27,Kia,656
2023-06-27,Jeep,920
2023-06-09,Maybach,992
2024-04-05,Honda,724
2024-05-01,Chevrolet,925
2024-02-17,Toyota,928
2024-04-21,Buick,882
2024-03-05,Toyota,329
2023-09-03,Bentley,50
2024-05-16,Dodge,255
2023-10-09,Saturn,86
2023-09-21,Toyota,287
2024-05-10,Honda,347
2023-09-28,Mercury,439
2023-12-19,BMW,116
2023-06-20,BMW,452
2024-01-21,Chevrolet,518
2023-06-20,GMC,332
2024-02-13,Ford,719
2024-04-07,Acura,885
2024-06-03,Nissan,302
2024-06-03,Buick,407
2023-09-17,Acura,290
2023-07-06,Mercedes-Benz,275
2023-08-15,Suzuki,712
2024-03-13,Alfa Romeo,320
2024-03-07,Cadillac,906
2023-09-09,Porsche,665
2023-12-01,Honda,402
2024-05-15,Mercedes-Benz,677
2024-03-29,Ford,925
2024-05-25,Subaru,552
2023-10-19,Ford,646
2024-04-17,Ferrari,780
2023-08-27,Lamborghini,223
2023-10-17,Chevrolet,995
2024-03-24,Nissan,953
2023-08-17,Aston Martin,144
2023-09-10,Dodge,673
2024-05-30,Chevrolet,995
2024-04-15,Nissan,332
2023-08-04,GMC,905
2024-05-14,MINI,405
2023-09-16,Chevrolet,853
2024-05-10,Toyota,704
2024-01-04,Nissan,586
2023-07-22,Toyota,907
2023-07-29,Audi,917
2023-06-28,Mitsubishi,715
2024-01-19,Lexus,207
2023-10-13,Aston Martin,466
2023-10-28,Toyota,988
2023-08-26,Honda,821
2024-04-21,Nissan,790
2024-03-11,Hyundai,268
2024-01-05,Chevrolet,126
2023-12-14,Toyota,518
2024-04-28,Suzuki,652
2023-09-12,Chevrolet,395
2023-06-18,Nissan,236
2023-10-15,Mitsubishi,477
2023-07-29,Acura,392
2024-03-28,Volkswagen,951
2024-01-21,Oldsmobile,762
2023-12-17,GMC,708
2024-03-18,Volkswagen,279
2023-09-16,Infiniti,222
2023-10-23,Volvo,809
2024-04-07,Cadillac,680
2024-01-21,BMW,558
2024-02-25,Pontiac,66
2023-09-06,Kia,396
2023-11-13,Volkswagen,224
2024-05-26,Volvo,610
2023-10-16,Dodge,907
2023-08-06,Toyota,313
2023-11-18,Volkswagen,756
2024-04-18,Dodge,211
2024-01-17,Buick,613
2024-04-05,Jaguar,428
2024-02-14,Suzuki,473
2023-09-15,Acura,698
2023-12-29,Chevrolet,787
2023-09-01,Eagle,946
2024-01-27,Mitsubishi,693
2024-02-11,Pontiac,456
2023-07-07,Pontiac,379
2023-08-29,Pontiac,843
2023-11-16,Lincoln,101
2023-07-11,Kia,910
2023-09-20,GMC,700
2024-02-11,Infiniti,302
2024-04-19,Volkswagen,153
2024-04-27,Audi,567
2023-12-25,Audi,957
2023-06-18,Buick,528
2023-07-11,Volkswagen,998
2024-04-22,Oldsmobile,255
2024-04-05,Ford,264
2023-11-22,Pontiac,298
2024-01-27,Lexus,882
2023-09-30,Porsche,729
2023-07-06,Subaru,744
2023-12-26,Mitsubishi,816
2023-11-20,Dodge,926
2024-03-20,Audi,228
2023-09-07,Hyundai,838
2024-05-05,GMC,185
2024-01-23,Ford,177
2024-05-18,Land Rover,194
2023-06-23,Suzuki,583
2024-05-10,Volkswagen,112
2024-04-10,Chrysler,192
2023-07-30,BMW,569
2023-12-19,Buick,384
2024-02-22,Suzuki,858
2024-02-04,Honda,294
2024-04-23,Cadillac,336
2024-03-05,Toyota,406
2023-12-09,Lexus,165
2024-04-06,Dodge,672
2024-05-12,Pontiac,174
2023-10-21,Infiniti,869
2023-06-14,Lincoln,103
2023-12-17,Chevrolet,803
2024-05-06,Saab,858
2023-08-04,Infiniti,288
2023-11-08,Buick,960
2023-10-23,Mazda,982
2023-08-20,Mitsubishi,930
2024-02-05,Isuzu,432
2023-08-13,Mazda,172
2024-05-09,Saab,714
2023-07-08,Mercedes-Benz,331
2024-03-16,Ford,267
2023-11-27,Honda,197
2024-04-13,Mercedes-Benz,620
2023-12-05,Ford,576
2024-04-03,Mazda,931
2023-08-10,Chevrolet,742
2024-04-20,Scion,787
2023-08-01,Infiniti,460
2024-05-26,Mitsubishi,728
2024-05-10,Dodge,499
2024-02-22,GMC,478
2024-04-15,Suzuki,472
2023-06-26,Pontiac,405
2023-09-29,Mercury,318
2023-08-26,Volvo,926
2024-05-08,Mercedes-Benz,902
2023-08-13,Buick,768
2023-12-15,Porsche,543
2024-02-03,Volkswagen,502
2024-01-25,Infiniti,557
2024-03-21,Cadillac,460
2023-06-29,Toyota,810
2024-05-27,Dodge,901
2023-08-04,Ford,824
2023-10-15,Lexus,846
2024-05-04,Porsche,557
2024-05-29,Audi,860
2024-05-28,Chevrolet,308
2024-01-09,Toyota,368
2023-11-26,Dodge,370
2023-12-02,Ford,702
2023-12-18,Dodge,735
